INVOICE_ID,FINAL_AMOUNT,DISCOUNT_AMOUNT,ISSUE_DATE,ISSUE_TIME,ORDER_ID
I000001,0,0,2023-08-09,08:04:00,O089944
I000002,0,0,2017-03-07,12:54:00,O057292
I000003,0,0,2022-10-15,07:29:00,O058407
I000004,0,0,2023-12-06,06:51:00,O090139
I000005,0,0,2018-12-17,17:54:49,O014447
I000006,0,0,2019-07-08,09:31:00,O006780
I000007,0,0,2015-06-05,09:17:20,O023856
I000008,0,0,2020-08-13,09:02:11,O059996
I000009,0,0,2016-03-25,10:30:00,O038891
I000010,0,0,2022-11-22,11:20:00,O033439
I000011,0,0,2017-11-05,13:24:55,O077750
I000012,0,0,2022-04-25,07:23:18,O060931
I000013,0,0,2021-01-19,09:48:49,O037838
I000014,0,0,2013-06-09,13:01:23,O061158
I000015,0,0,2012-08-10,16:38:36,O092630
I000016,0,0,2017-09-27,14:39:00,O057752
I000017,0,0,2022-07-02,14:20:00,O003528
I000018,0,0,2024-01-01,16:44:39,O056353
I000019,0,0,2022-12-10,10:39:00,O073225
I000020,0,0,2018-07-15,16:34:39,O073079
I000021,0,0,2008-12-01,08:34:00,O031690
I000022,0,0,2022-01-02,11:54:55,O066678
I000023,0,0,2018-05-06,18:40:00,O052447
I000024,0,0,2020-09-11,17:12:18,O042627
I000025,0,0,2023-03-29,10:53:00,O074000
I000026,0,0,2021-08-28,18:26:38,O051276
I000027,0,0,2017-11-23,08:02:00,O042691
I000028,0,0,2021-10-27,07:22:00,O091862
I000029,0,0,2016-04-07,15:03:50,O015749
I000030,0,0,2019-05-11,18:26:20,O036229
I000031,0,0,2023-05-25,07:54:00,O070686
I000032,0,0,2023-03-25,08:42:00,O093513
I000033,0,0,2021-06-11,18:58:56,O028442
I000034,0,0,2022-08-28,16:33:51,O017173
I000035,0,0,2021-11-04,17:30:12,O061862
I000036,0,0,2019-01-18,14:46:00,O026343
I000037,0,0,2024-03-16,17:05:41,O042459
I000038,0,0,2012-04-15,06:55:00,O073536
I000039,0,0,2023-08-15,18:38:53,O041644
I000040,0,0,2022-05-25,18:31:00,O060748
I000041,0,0,2021-12-08,06:30:00,O094585
I000042,0,0,2024-09-16,09:12:00,O008786
I000043,0,0,2022-11-10,12:44:57,O087015
I000044,0,0,2024-07-27,17:22:00,O100141
I000045,0,0,2022-04-11,07:36:00,O012115
I000046,0,0,2011-10-26,08:26:00,O088568
I000047,0,0,2012-10-11,11:00:29,O039627
I000048,0,0,2019-08-12,08:25:00,O087399
I000049,0,0,2022-04-28,14:48:54,O004132
I000050,0,0,2007-03-04,17:41:09,O097972
I000051,0,0,2021-11-06,15:48:03,O065982
I000052,0,0,2022-03-08,10:03:00,O033054
I000053,0,0,2023-04-09,16:56:56,O065327
I000054,0,0,2016-08-28,15:53:38,O098539
I000055,0,0,2024-10-04,12:27:00,O068549
I000056,0,0,2021-02-08,17:32:15,O082043
I000057,0,0,2021-08-01,10:17:00,O074653
I000058,0,0,2000-06-25,06:36:21,O036835
I000059,0,0,2021-12-04,14:11:55,O040435
I000060,0,0,2023-07-08,12:43:13,O037082
I000061,0,0,2012-12-16,10:35:45,O033771
I000062,0,0,2021-08-25,15:19:00,O065190
I000063,0,0,2024-10-08,07:55:22,O036274
I000064,0,0,2009-01-20,09:28:45,O071734
I000065,0,0,2009-02-08,11:18:00,O083716
I000066,0,0,2024-01-10,17:05:00,O050476
I000067,0,0,2024-04-14,14:15:39,O030770
I000068,0,0,2017-05-05,14:02:00,O040232
I000069,0,0,2024-02-11,11:18:00,O019021
I000070,0,0,2024-02-04,09:45:00,O053128
I000071,0,0,2005-06-17,13:54:50,O072372
I000072,0,0,2015-10-04,17:11:45,O038234
I000073,0,0,2018-03-03,11:41:00,O031796
I000074,0,0,2020-05-06,13:42:22,O052863
I000075,0,0,2018-07-10,18:14:39,O088864
I000076,0,0,2024-12-01,07:19:00,O076625
I000077,0,0,2021-03-11,11:27:15,O063852
I000078,0,0,2023-09-03,16:50:21,O024909
I000079,0,0,2014-05-17,10:36:55,O022882
I000080,0,0,2020-09-07,06:35:09,O060481
I000081,0,0,2016-05-29,11:24:00,O013897
I000082,0,0,2024-12-08,10:21:00,O070151
