DATE_ACCESSED,TIME_ACCESSED,CUSTOMER_ID,SESSION_DURATION
2021-04-11,18:02:16,083074C,4248
2024-06-12,14:30:22,091863C,4839
2021-07-30,11:32:08,053014C,2368
1998-06-17,08:39:51,047537C,2112
2020-03-15,22:45:51,039872C,4990
2022-05-08,14:06:46,006806C,664
2022-02-18,15:30:35,012120C,884
2010-11-10,15:39:40,090211C,1735
2024-09-01,20:28:55,081868C,4330
2007-05-27,22:00:05,093310C,3327
2022-01-20,05:39:31,024565C,2789
2009-04-06,15:45:55,034084C,575
2016-12-06,23:14:15,011697C,1227
2019-11-10,19:05:05,021933C,2681
2022-04-18,20:06:19,039506C,4575
2001-10-26,08:35:21,084096C,4486
2006-09-02,22:37:18,072169C,3705
2001-11-01,17:20:36,004647C,2043
2000-04-22,11:52:11,078015C,330
2023-04-06,13:30:04,053084C,795
2024-10-19,09:09:59,082658C,376
2020-02-18,22:43:25,084784C,4357
2015-03-15,12:54:13,016117C,4891
2023-12-31,18:37:17,070809C,3751
2024-11-22,16:05:20,040889C,1004
2023-02-14,15:54:12,047836C,2050
2002-01-30,13:07:45,048211C,1866
2007-08-20,10:21:27,033787C,569
2000-06-10,09:54:44,017615C,1852
1999-08-04,23:40:58,029267C,4436
2023-10-27,07:01:07,014966C,1604
2020-10-22,23:07:25,033377C,809
2013-02-22,08:02:38,011635C,237
2016-02-17,10:45:07,091830C,3985
2000-07-04,06:43:01,010514C,4518
2021-01-04,08:53:16,074833C,633
2011-11-08,14:22:27,056689C,1537
2007-11-03,19:02:38,074661C,886
2023-03-13,17:12:16,089873C,2997
2023-06-13,20:53:57,023532C,4727
2004-01-15,11:49:03,021508C,1356
2022-09-13,15:33:16,074408C,1020
2022-01-22,19:42:11,044914C,168
2021-10-07,18:36:55,043117C,4226
2022-06-08,16:24:53,084647C,2115
2005-12-11,05:29:47,061511C,707
1999-03-14,06:34:17,069417C,1164
2015-10-01,20:22:39,052677C,2418
2018-02-13,23:40:54,083228C,1144
2018-10-17,17:47:26,069413C,721
2010-08-26,11:44:21,011197C,1371
1997-02-13,19:24:45,078733C,4714
2023-03-17,06:25:55,020153C,4708
2022-03-14,06:10:28,027263C,583
2008-06-01,10:28:33,054948C,4051
2020-01-28,05:02:31,074106C,2730
2008-02-23,19:03:51,088968C,3460
1999-03-23,07:53:46,032900C,1129
2019-08-17,17:43:26,056777C,2650
2016-05-22,05:45:48,038415C,79
2019-11-20,21:39:06,049048C,1620
2005-03-14,11:55:19,031050C,2353
2024-10-31,10:06:30,007128C,3309
2019-03-19,05:17:58,038682C,3770
2024-10-31,08:55:16,092474C,1152
2022-08-15,16:07:55,049267C,1325
2012-04-28,05:02:02,032600C,1745
2018-10-11,22:20:23,003061C,4708
2018-09-07,06:54:47,040895C,4110
2020-09-21,19:40:27,056659C,3111
2022-04-28,10:13:24,094535C,4869
2013-09-23,09:09:17,065955C,2791
2000-10-16,16:45:05,007812C,2830
2020-07-25,06:02:17,016470C,1402
2015-11-02,23:18:23,010204C,3294
2020-06-23,09:18:07,043763C,3976
2024-01-05,06:19:11,049178C,4344
2019-01-23,14:25:53,030628C,2751
2015-09-16,08:06:35,069609C,4001
2020-10-30,15:07:30,015799C,1010
2024-12-05,18:02:19,076418C,2804
2022-08-06,09:10:40,089124C,4684
2003-12-30,07:04:51,057784C,753
2017-08-09,12:03:24,083767C,124
2015-09-13,22:33:18,020800C,3734
2022-12-31,23:45:43,008383C,1839
2020-06-12,16:14:16,044531C,4854
2021-10-14,18:12:22,020279C,1002
2000-03-13,05:33:28,064925C,1712
2017-05-15,17:16:13,008960C,404
2024-10-15,11:39:09,071585C,917
2010-03-06,17:23:34,047667C,1299
2007-11-14,20:09:36,079193C,3385
2022-11-24,18:33:31,027988C,2701
2020-01-23,20:40:42,089427C,1714
2020-06-21,12:00:21,008725C,2667
2019-07-26,06:33:09,099169C,2164
2019-08-12,09:53:24,025860C,4835
2003-06-08,20:04:51,012302C,753
2018-04-13,06:04:14,038237C,1129
2017-12-06,05:48:54,082511C,3734
2005-12-05,10:51:09,019079C,3834
2022-01-20,21:24:57,044750C,4400
2018-08-03,23:05:43,088422C,4303
2018-10-07,07:47:27,093360C,1748
2001-07-06,18:52:30,056035C,3243
2019-04-10,12:54:55,033130C,227
2018-05-01,05:47:11,058864C,2537
2018-09-07,13:21:04,024488C,4102
2023-12-13,14:49:26,068297C,3207
2022-08-07,06:10:41,023124C,1103
2010-05-24,15:03:02,015861C,4003
2024-01-01,20:55:38,071655C,728
2022-06-18,09:51:22,013371C,3428
2006-06-17,19:24:29,045189C,445
2014-11-01,09:01:02,032821C,4961
2024-11-26,15:06:44,019765C,4558
2020-01-02,11:24:50,083471C,4076
2004-05-27,06:39:44,019850C,3887
2023-10-13,15:41:07,042906C,2487
2023-01-07,09:24:51,029588C,2466
2021-07-27,08:33:55,078146C,1609
2016-10-21,17:28:23,096310C,1620
2020-05-05,07:02:57,065960C,387
2021-10-31,05:33:42,061825C,4723
2022-03-11,11:14:05,062285C,4175
2023-08-14,18:32:19,036495C,989
2009-03-29,23:27:59,077073C,748
2018-09-13,18:04:06,029608C,3461
2020-10-04,05:50:28,097196C,3591
2023-03-19,05:31:58,047044C,2718
2018-12-25,07:22:04,080687C,1054
2013-08-19,05:22:22,022773C,1517
2017-01-20,12:52:23,049961C,637
2023-05-12,09:13:00,094859C,1737
2020-11-07,08:47:00,021512C,2462
2003-07-23,05:38:14,065406C,1222
2005-05-08,08:30:22,079927C,2175
1997-08-19,11:23:21,037419C,3937
2024-03-22,14:35:40,078233C,2738
2006-04-21,07:06:34,089576C,4818
2001-01-24,17:09:08,060815C,1885
2004-07-31,12:15:48,075157C,1566
2009-09-27,18:42:02,007611C,1143
2024-10-04,17:04:44,052206C,659
2002-11-18,14:35:26,005203C,1225
2020-10-30,14:40:22,034814C,752
2011-07-31,16:40:33,010436C,533
1999-03-13,05:26:46,028260C,2686
2018-11-09,16:18:30,075935C,805
2024-08-30,08:17:07,056741C,4632
2019-03-31,09:50:44,092107C,3714
2023-12-08,10:49:26,033819C,3596
2004-07-10,19:21:59,084631C,4347
