INVOICE_ID,FINAL_AMOUNT,DISCOUNT_AMOUNT,ISSUE_DATE,ISSUE_TIME,ORDER_ID
I000001,0,0,2022-07-27,12:16:01,O057442
I000002,0,0,2013-09-27,10:38:00,O070155
I000003,0,0,2021-11-06,12:52:54,O017981
I000004,0,0,2009-05-04,10:24:18,O015560
I000005,0,0,2022-10-18,10:47:41,O016998
I000006,0,0,2021-10-08,06:57:00,O040112
I000007,0,0,2024-04-05,07:03:00,O036381
I000008,0,0,2014-04-10,12:04:00,O058524
I000009,0,0,2020-11-26,11:44:17,O081644
I000010,0,0,2022-02-25,17:52:24,O037548
I000011,0,0,2011-10-12,14:31:00,O055581
I000012,0,0,2019-11-08,09:59:33,O089340
I000013,0,0,2017-07-10,17:25:00,O099355
I000014,0,0,2014-01-13,14:40:02,O087052
I000015,0,0,2022-12-23,12:55:38,O055536
I000016,0,0,2024-11-02,15:30:36,O012188
I000017,0,0,2024-02-01,10:03:00,O088284
I000018,0,0,2015-09-08,16:34:39,O086138
I000019,0,0,2007-10-17,14:21:06,O024848
I000020,0,0,2023-09-01,14:43:00,O068019
I000021,0,0,2024-10-29,08:15:05,O036075
I000022,0,0,2024-12-11,14:24:41,O032796
I000023,0,0,2024-10-25,18:00:00,O059651
I000024,0,0,2005-11-18,09:41:14,O038349
I000025,0,0,2024-06-01,18:09:43,O066590
I000026,0,0,2023-03-07,15:05:55,O080890
I000027,0,0,2024-01-07,17:07:00,O083930
I000028,0,0,2017-08-07,09:55:58,O007085
I000029,0,0,2020-08-27,17:52:23,O054541
I000030,0,0,2018-12-29,14:39:00,O050919
I000031,0,0,2012-05-26,18:10:00,O035438
I000032,0,0,2024-11-30,13:39:00,O052029
I000033,0,0,2010-08-28,10:23:00,O085905
I000034,0,0,2022-08-12,18:20:34,O074927
I000035,0,0,2018-05-28,17:24:00,O053302
I000036,0,0,2021-12-31,14:43:00,O052182
I000037,0,0,2013-01-21,10:52:00,O020247
I000038,0,0,2006-03-10,10:57:00,O043890
I000039,0,0,2020-04-03,11:31:00,O098558
I000040,0,0,2020-12-31,06:56:00,O065234
I000041,0,0,2024-09-02,11:41:33,O076648
I000042,0,0,2024-10-24,15:54:24,O004994
I000043,0,0,2020-06-01,06:41:00,O059475
I000044,0,0,2017-11-12,08:05:00,O016250
I000045,0,0,2023-11-08,15:22:41,O021213
I000046,0,0,2014-08-30,18:23:41,O023622
I000047,0,0,2009-09-13,16:36:30,O028066
I000048,0,0,2023-02-13,09:24:53,O020627
I000049,0,0,2023-08-30,07:08:04,O079145
I000050,0,0,2017-05-31,14:11:30,O052488
I000051,0,0,2017-06-23,09:48:16,O063109
I000052,0,0,2020-08-10,16:13:00,O062365
I000053,0,0,2024-11-04,13:12:00,O037986
I000054,0,0,2022-02-03,15:11:00,O022628
I000055,0,0,2021-03-14,08:48:00,O026344
I000056,0,0,2022-05-16,07:44:29,O060717
I000057,0,0,2024-06-16,11:53:00,O055782
I000058,0,0,2022-12-06,15:39:30,O065192
I000059,0,0,2017-12-18,15:34:17,O086478
I000060,0,0,2007-11-08,12:54:00,O007525
I000061,0,0,2024-12-12,17:19:00,O097695
I000062,0,0,2016-07-27,13:04:17,O059480
I000063,0,0,2011-03-21,17:55:00,O098512
I000064,0,0,2013-02-07,07:01:00,O094565
I000065,0,0,2021-11-05,18:41:27,O044175
I000066,0,0,2024-03-17,17:14:00,O054642
I000067,0,0,2019-03-09,17:12:00,O023738
I000068,0,0,2022-12-12,08:16:00,O078060
I000069,0,0,2023-10-24,15:34:20,O100015
I000070,0,0,2002-03-06,07:43:14,O066206
I000071,0,0,2018-05-18,07:08:00,O004010
I000072,0,0,2023-12-29,12:39:00,O026401
I000073,0,0,2023-05-05,11:19:00,O037364
I000074,0,0,2024-07-17,17:50:00,O081244
I000075,0,0,2022-07-19,09:26:00,O068610
I000076,0,0,2023-11-10,11:38:00,O042066
I000077,0,0,2021-02-27,13:44:00,O000333
I000078,0,0,2023-03-02,16:21:00,O006894
I000079,0,0,2023-04-04,09:30:39,O082124
I000080,0,0,2021-08-08,16:07:49,O072132
I000081,0,0,2022-10-29,12:08:00,O053738
I000082,0,0,2018-09-16,18:30:00,O090913
I000083,0,0,2023-08-16,10:36:00,O047958
I000084,0,0,2024-04-11,12:33:00,O003887
I000085,0,0,2022-01-18,10:44:00,O095969
I000086,0,0,2017-06-15,09:07:00,O046930
I000087,0,0,2017-12-16,08:52:51,O094884
I000088,0,0,2012-08-14,13:09:00,O046838
I000089,0,0,2023-02-08,17:39:30,O091456
I000090,0,0,2024-12-03,15:39:00,O095685
I000091,0,0,2009-05-05,14:52:52,O071648
I000092,0,0,2024-03-02,17:48:32,O096531
I000093,0,0,2021-10-23,18:34:00,O046133
I000094,0,0,2019-07-06,18:34:01,O017670
I000095,0,0,2024-09-01,14:35:00,O054117
I000096,0,0,2017-10-21,12:40:00,O087183
I000097,0,0,2022-12-13,08:13:00,O045919
I000098,0,0,2020-09-27,11:14:43,O060033
I000099,0,0,2012-06-20,13:20:18,O012725
I000100,0,0,2005-07-14,06:51:18,O084543
I000101,0,0,2013-03-27,14:38:00,O083153
I000102,0,0,2020-02-17,17:29:00,O025567
I000103,0,0,2022-10-30,06:38:00,O027920
I000104,0,0,2018-01-19,06:58:00,O100763
I000105,0,0,2014-08-18,08:15:19,O007802
I000106,0,0,2011-07-21,08:57:56,O031246
I000107,0,0,2022-01-11,14:33:00,O072900
I000108,0,0,2024-10-09,07:34:39,O074861
I000109,0,0,2022-09-27,06:43:00,O100279
I000110,0,0,2010-01-16,11:29:25,O010175
I000111,0,0,2019-05-11,16:47:40,O099933
I000112,0,0,2004-11-12,18:18:00,O089435
I000113,0,0,2016-04-14,10:12:00,O012022
I000114,0,0,2020-02-12,06:52:00,O062538
I000115,0,0,2024-11-10,16:25:21,O086166
I000116,0,0,2010-08-21,12:22:28,O023390
I000117,0,0,2022-03-22,10:21:33,O008642
I000118,0,0,2010-05-04,18:57:58,O093686
I000119,0,0,2009-10-11,12:53:59,O009463
I000120,0,0,2023-02-07,15:37:00,O025821
I000121,0,0,2019-07-01,18:11:08,O040597
I000122,0,0,2007-04-11,12:00:00,O088118
I000123,0,0,2015-04-08,10:53:00,O031191
I000124,0,0,2024-10-08,13:38:58,O032387
I000125,0,0,2019-04-29,15:02:40,O002160
I000126,0,0,2015-07-28,17:15:00,O065773
I000127,0,0,2021-10-03,07:12:00,O068313
I000128,0,0,2009-08-21,09:25:00,O000280
I000129,0,0,2017-02-28,09:12:00,O062925
I000130,0,0,2019-12-30,13:05:00,O085093
I000131,0,0,2023-03-03,13:45:27,O074541
I000132,0,0,2019-03-20,13:56:00,O032201
I000133,0,0,2018-06-08,16:31:00,O018398
I000134,0,0,2019-06-26,15:45:00,O006779
I000135,0,0,2024-03-23,13:04:00,O052040
I000136,0,0,2018-11-19,09:52:00,O040295
I000137,0,0,2021-01-22,17:16:30,O001256
I000138,0,0,2023-04-09,12:08:00,O097369
I000139,0,0,2020-10-15,17:07:00,O058992
I000140,0,0,2016-07-30,10:28:00,O005046
I000141,0,0,2024-11-04,09:56:00,O092821
I000142,0,0,2011-08-30,08:42:50,O056484
I000143,0,0,2024-09-08,12:40:12,O081177
I000144,0,0,2016-12-05,18:12:31,O044545
I000145,0,0,2021-04-22,07:50:00,O007096
I000146,0,0,2008-06-17,18:59:22,O084354
I000147,0,0,2024-11-24,10:20:00,O026630
I000148,0,0,2020-08-01,09:28:53,O043038
I000149,0,0,2024-12-11,15:14:04,O057145
I000150,0,0,2020-10-11,13:26:00,O043046
I000151,0,0,2023-03-27,18:09:58,O008417
I000152,0,0,2021-10-21,18:40:00,O003493
I000153,0,0,2015-12-06,11:56:24,O040434
I000154,0,0,2022-07-20,12:25:12,O083060
I000155,0,0,2024-11-24,18:49:03,O034234
I000156,0,0,2022-11-12,09:58:00,O017561
I000157,0,0,2023-03-30,17:08:00,O084121
I000158,0,0,2020-05-27,17:39:00,O000688
I000159,0,0,2017-04-12,15:56:00,O065556
I000160,0,0,2014-12-25,14:37:16,O032039
I000161,0,0,2019-01-21,08:44:00,O068528
I000162,0,0,2023-10-12,06:38:00,O076893
I000163,0,0,2019-06-02,18:17:10,O007734
I000164,0,0,2013-09-13,15:44:00,O082725
I000165,0,0,2024-06-28,07:11:00,O068827
I000166,0,0,2022-04-05,18:24:30,O049322
I000167,0,0,2024-05-28,09:07:00,O052068
I000168,0,0,2023-11-04,07:33:00,O090365
I000169,0,0,2024-08-26,16:13:00,O006310
I000170,0,0,2024-12-14,14:53:00,O019727
I000171,0,0,2018-10-27,11:32:04,O031888
I000172,0,0,2022-10-29,06:59:00,O079973
I000173,0,0,2020-05-22,13:18:00,O097317
I000174,0,0,2022-05-13,17:12:05,O086676
I000175,0,0,2023-10-28,09:48:29,O043339
I000176,0,0,2012-06-15,09:36:00,O037921
I000177,0,0,2022-01-15,11:44:00,O065943
I000178,0,0,2024-08-13,10:05:00,O005140
I000179,0,0,2022-10-26,06:47:00,O041367
I000180,0,0,2023-11-29,11:16:57,O031034
I000181,0,0,2016-05-26,12:22:00,O054362
I000182,0,0,2018-04-21,14:55:41,O008571
I000183,0,0,2014-06-25,11:31:00,O099674
I000184,0,0,2021-03-30,09:53:48,O044927
I000185,0,0,2017-05-18,15:26:00,O073380
I000186,0,0,2021-04-06,17:22:29,O018607
I000187,0,0,2018-01-09,17:42:21,O013520
I000188,0,0,2013-10-16,06:55:00,O052244
I000189,0,0,2012-06-24,07:57:00,O021343
I000190,0,0,2014-06-13,11:47:00,O049385
I000191,0,0,2022-04-08,16:55:43,O084366
I000192,0,0,2023-05-07,10:42:00,O073673
I000193,0,0,2009-10-15,06:44:23,O000706
I000194,0,0,2021-10-16,17:24:00,O050155
I000195,0,0,2024-10-04,16:13:00,O048219
I000196,0,0,2021-11-09,13:38:00,O033191
I000197,0,0,2021-10-24,16:04:30,O000188
I000198,0,0,2006-12-12,09:28:00,O098116
I000199,0,0,2004-11-03,06:37:00,O043837
I000200,0,0,2012-07-09,18:22:22,O004207
I000201,0,0,2003-07-10,08:35:34,O087116
I000202,0,0,2022-06-10,08:51:00,O057661
I000203,0,0,2024-03-04,13:59:49,O017051
I000204,0,0,2015-11-16,18:55:56,O076682
I000205,0,0,2020-02-01,09:42:00,O090722
I000206,0,0,2001-04-03,13:04:00,O061655
I000207,0,0,2022-09-24,11:10:32,O073213
I000208,0,0,2022-08-28,17:32:00,O009989
I000209,0,0,2005-10-24,10:20:24,O002449
I000210,0,0,2022-01-15,13:39:00,O063623
I000211,0,0,2019-01-18,10:41:00,O002615
I000212,0,0,2016-06-23,10:13:56,O050811
I000213,0,0,2005-06-22,17:59:00,O044627
I000214,0,0,2022-03-27,08:22:00,O024605
I000215,0,0,2023-11-08,06:56:15,O092808
I000216,0,0,2017-02-22,10:29:14,O092205
I000217,0,0,2018-12-27,14:02:00,O036931
I000218,0,0,2016-01-13,13:43:36,O025020
I000219,0,0,2024-11-13,18:26:39,O082663
I000220,0,0,2018-01-24,16:07:44,O001064
I000221,0,0,2018-09-05,15:55:16,O028803
I000222,0,0,2019-07-27,16:52:31,O062474
I000223,0,0,2023-02-10,06:59:00,O030557
I000224,0,0,2020-01-06,08:37:45,O019542
I000225,0,0,2010-10-05,09:33:00,O040388
I000226,0,0,2024-09-06,17:34:00,O066053
I000227,0,0,2001-11-05,10:02:46,O033999
I000228,0,0,2012-07-06,17:30:00,O016544
I000229,0,0,2021-11-21,10:25:00,O059615
I000230,0,0,2022-10-11,15:09:00,O045652
I000231,0,0,2011-12-15,09:05:00,O049733
I000232,0,0,2022-07-17,09:12:00,O002130
I000233,0,0,2024-04-21,18:45:13,O100374
I000234,0,0,2014-01-03,10:15:00,O074882
I000235,0,0,2023-07-19,14:03:00,O073787
I000236,0,0,2023-09-20,10:07:00,O084485
I000237,0,0,2018-11-24,08:14:00,O083841
I000238,0,0,2021-07-01,09:36:05,O100379
I000239,0,0,2015-06-15,12:52:33,O015973
I000240,0,0,2024-01-11,15:04:18,O041419
I000241,0,0,2023-08-14,06:31:00,O075874
I000242,0,0,2006-01-10,07:09:00,O066210
I000243,0,0,2016-05-11,11:42:43,O084094
I000244,0,0,2014-04-05,07:32:42,O008949
I000245,0,0,2021-10-09,10:14:00,O036402
I000246,0,0,2022-11-11,15:19:00,O068187
I000247,0,0,2014-05-22,18:35:41,O073396
I000248,0,0,2018-07-22,17:30:41,O036019
I000249,0,0,2022-12-11,19:00:00,O000634
I000250,0,0,2022-11-28,07:24:00,O001971
I000251,0,0,2019-03-22,07:30:00,O000411
I000252,0,0,2022-03-01,13:13:48,O012401
I000253,0,0,2024-10-26,11:00:00,O076278
I000254,0,0,2009-06-08,14:17:54,O015134
I000255,0,0,2023-05-23,15:38:00,O011244
I000256,0,0,2009-08-13,08:01:00,O067064
I000257,0,0,2013-06-05,08:29:58,O060552
I000258,0,0,2019-02-07,07:49:00,O094039
I000259,0,0,2020-09-11,15:51:07,O006889
I000260,0,0,2018-04-23,15:00:00,O002162
I000261,0,0,2023-10-02,10:14:00,O081327
I000262,0,0,2023-11-30,07:04:41,O018924
I000263,0,0,2021-05-24,07:10:00,O071064
I000264,0,0,2021-02-19,11:54:00,O035021
I000265,0,0,2024-05-31,16:37:30,O013683
I000266,0,0,2014-11-05,10:30:00,O085438
I000267,0,0,2023-06-04,11:49:00,O042267
I000268,0,0,2021-07-15,07:14:34,O005716
I000269,0,0,2023-03-05,11:17:00,O079374
I000270,0,0,2008-02-03,12:03:35,O041082
I000271,0,0,2017-11-23,12:05:00,O068039
I000272,0,0,2024-09-30,08:14:44,O094509
I000273,0,0,2020-07-07,08:48:00,O038420
I000274,0,0,1999-10-05,12:08:33,O016936
I000275,0,0,2018-08-17,15:45:19,O053550
I000276,0,0,2019-07-09,13:54:00,O023145
I000277,0,0,2020-09-08,09:42:00,O063521
I000278,0,0,2012-06-25,13:37:00,O075873
I000279,0,0,2021-11-21,14:27:57,O063878
I000280,0,0,2023-11-07,18:04:39,O056175
I000281,0,0,2021-10-13,07:05:00,O038321
I000282,0,0,2024-10-27,07:24:00,O042538
I000283,0,0,2016-05-30,14:20:00,O015393
I000284,0,0,2024-12-09,07:05:00,O011756
I000285,0,0,2022-01-06,14:16:33,O046687
I000286,0,0,2016-11-17,14:11:00,O025956
I000287,0,0,2021-08-29,12:37:00,O090452
I000288,0,0,2021-07-23,16:38:00,O037172
I000289,0,0,2020-09-10,17:13:00,O079715
I000290,0,0,2024-06-01,09:36:41,O026874
I000291,0,0,2001-07-05,18:13:51,O049613
I000292,0,0,2019-07-14,12:55:04,O091344
I000293,0,0,2024-03-30,09:24:21,O061364
I000294,0,0,2013-05-14,06:48:00,O005157
I000295,0,0,2018-06-17,07:34:00,O048872
I000296,0,0,2020-11-08,06:35:00,O041323
I000297,0,0,2018-06-30,16:39:08,O022314
I000298,0,0,2023-03-14,07:55:10,O012841
I000299,0,0,2020-07-14,15:52:00,O092226
I000300,0,0,2010-06-26,13:21:33,O000406
I000301,0,0,2004-04-03,07:35:00,O066473
I000302,0,0,2024-03-18,17:57:59,O018836
I000303,0,0,2022-06-08,15:06:56,O098056
I000304,0,0,2019-05-01,10:20:00,O088530
