OORDER_ID,ARRIVAL_DATE,ARRIVAL_TIME,TABLE_NUMBER,BRANCH_ID,CUSTOMER_QUANTITY
O000001,2015-03-24,12:58:12,46,B001,8
O000004,2022-08-18,16:06:10,31,B004,10
O000012,1997-03-08,06:55:53,41,B012,7
O000013,2024-09-04,21:12:31,21,B013,4
O000014,2020-12-15,13:10:49,22,B014,5
O000015,2021-11-13,18:54:46,9,B015,2
O000019,2020-11-14,13:28:29,8,B001,3
O000022,2023-02-24,15:51:05,10,B001,5
O000029,2020-12-01,18:14:43,18,B001,1
O000030,2023-08-27,12:45:17,7,B001,1
O000032,2012-07-31,13:18:14,17,B001,3
O000034,2019-07-10,12:05:23,44,B001,10
O000035,2024-09-22,18:19:43,44,B001,7
O000041,2018-10-27,17:32:29,38,B001,8
O000042,2019-12-14,17:37:26,31,B001,8
O000049,2017-11-10,13:13:03,3,B001,1
O000051,2023-03-07,10:37:49,8,B001,1
O000060,2022-03-27,06:49:09,32,B001,7
O000062,2019-03-21,14:24:21,11,B001,4
O000064,2024-07-21,12:06:38,29,B001,7
O000068,2014-07-02,13:56:57,21,B001,4
O000070,2024-06-17,13:45:46,41,B001,9
O000078,2024-10-03,08:01:30,9,B001,4
O000080,2021-11-16,16:26:13,49,B001,6
O000083,2014-06-27,16:30:54,34,B001,7
O000086,2008-10-17,17:48:19,8,B001,3
O000089,2002-07-12,16:35:51,1,B001,1
O000090,2023-03-08,08:55:50,25,B001,4
O000093,1999-02-11,17:13:14,44,B001,6
O000095,2001-01-27,08:36:44,39,B001,7
O000097,2022-05-28,16:29:26,37,B001,7
O000100,2023-03-19,15:28:00,24,B001,4
O000102,2020-01-25,14:36:01,14,B001,5
O000106,2020-04-13,07:15:12,32,B001,10
O000108,2003-05-05,15:00:21,6,B001,3
O000109,2024-06-27,08:52:52,17,B001,1
O000111,2023-12-02,13:10:55,14,B001,4
O000112,2020-05-31,16:12:04,39,B001,9
O000114,2012-08-21,14:28:34,1,B001,3
O000116,2011-03-19,17:08:50,37,B001,9
O000119,2023-07-25,17:16:10,6,B001,4
O000120,2021-03-11,16:55:23,34,B001,10
O000121,2021-04-26,08:43:17,10,B001,1
O000122,2022-07-21,07:44:06,26,B001,8
O000127,2018-04-02,07:37:04,8,B001,3
O000132,2018-08-10,11:11:18,44,B001,6
O000133,2024-04-19,17:29:16,22,B001,1
O000137,2021-11-20,11:55:01,39,B001,10
O000139,2022-12-01,14:54:17,25,B001,5
O000140,2019-02-03,16:12:41,46,B001,10
O000142,2013-06-22,15:13:14,29,B001,9
O000144,2024-06-13,15:30:27,13,B001,1
O000145,2020-10-02,13:07:59,19,B001,4
O000149,2023-06-16,09:09:36,2,B001,5
O000154,2021-12-26,12:50:12,29,B001,6
O000155,2013-03-11,17:35:46,7,B001,5
O000161,2017-03-15,17:18:05,25,B001,1
O000163,2023-11-28,14:28:45,38,B001,7
O000165,2022-08-08,18:41:35,38,B001,6
O000168,2019-02-07,12:46:03,18,B001,1
O000170,2024-07-31,17:37:40,46,B001,9
O000174,2017-12-14,14:01:38,42,B001,7
O000178,2019-03-12,09:06:03,41,B001,9
O000179,2019-09-18,08:29:58,30,B001,6
O000181,2002-03-15,14:48:33,42,B001,10
O000183,2019-02-27,07:31:50,31,B001,8
O000185,2022-10-23,13:12:47,26,B001,9
O000186,2000-04-03,16:34:30,13,B001,5
O000189,2006-01-16,11:43:17,39,B001,6
O000191,2024-06-17,18:04:20,2,B001,1
O000192,2004-11-21,11:24:54,8,B001,3
O000195,2014-05-14,11:45:53,8,B001,2
O000197,2023-04-30,18:52:52,38,B001,8
O000201,2023-12-11,08:48:17,13,B001,4
O000202,2020-08-16,10:26:45,31,B001,7
O000208,2001-09-02,18:48:31,30,B001,10
O000209,2019-11-21,14:55:07,4,B001,3
O000213,2019-07-23,06:33:46,38,B001,10
O000216,2015-08-08,15:57:44,45,B001,6
O000217,2013-04-03,07:57:57,31,B001,7
O000220,2012-09-23,17:08:49,28,B001,10
O000221,2020-02-02,06:37:11,18,B001,4
O000222,2011-02-03,16:50:33,47,B001,6
O000228,2023-11-24,07:38:41,17,B001,2
O000229,2018-11-19,10:49:28,19,B001,3
O000231,2022-10-01,07:24:29,36,B001,10
O000233,2023-04-20,15:57:54,41,B001,6
O000240,2023-01-02,15:57:55,20,B001,2
O000242,2005-03-15,18:49:01,43,B001,7
O000249,2015-01-14,15:30:09,49,B001,9
O000252,2021-12-20,15:26:49,4,B001,1
O000254,2000-03-07,11:05:43,6,B001,2
O000256,2024-01-05,10:05:43,6,B001,1
O000258,2023-10-19,15:34:01,11,B001,5
O000259,2020-11-27,07:21:48,13,B001,5
O000265,2022-06-12,12:18:23,43,B001,10
O000266,2017-02-25,15:47:19,49,B001,8
O000267,2010-03-19,13:58:07,9,B001,3
O000270,2011-11-09,10:38:55,16,B001,4
O000280,2009-08-22,16:15:20,7,B001,5
O000281,2010-03-14,14:10:58,19,B001,4
O000283,2019-11-26,09:22:14,36,B001,9
O000285,2020-12-26,11:12:48,43,B001,10
O000291,2022-08-03,18:41:46,30,B001,10
O000293,2023-03-28,12:24:54,33,B001,6
O000296,2024-06-21,11:40:56,37,B001,10
O000297,2010-01-01,14:20:35,44,B001,9
O000298,2023-05-17,18:25:13,43,B001,10
O000299,2008-03-22,16:38:27,34,B001,6
O000305,2014-12-12,11:29:23,1,B001,1
O000307,2006-09-19,10:32:58,15,B001,4
O000317,2019-03-15,15:52:21,37,B001,9
O000319,2024-09-30,06:42:58,40,B001,7
O000320,2014-07-12,07:16:00,23,B001,3
O000321,2010-01-29,08:23:58,46,B001,7
O000323,2023-12-01,07:09:33,36,B001,10
O000327,2019-07-19,13:52:47,18,B001,4
O000331,2019-12-30,16:46:46,31,B001,6
O000339,2024-08-31,13:19:26,27,B001,6
O000340,2004-07-20,15:18:57,9,B001,2
O000350,2018-09-12,14:52:00,33,B001,9
O000357,2024-06-11,18:12:45,45,B001,10
O000358,2015-11-27,13:41:20,42,B001,8
O000359,2023-04-23,09:32:23,39,B001,9
O000365,2017-07-06,07:04:03,36,B001,8
O000368,2006-12-31,10:43:16,3,B001,4
O000371,2007-07-03,15:00:16,12,B001,3
O000380,2024-07-09,16:46:29,49,B001,8
O000386,2017-02-11,10:56:33,46,B001,10
O000387,2022-09-14,16:52:20,44,B001,8
O000388,2018-10-06,15:54:49,9,B001,4
O000393,2024-03-11,11:43:51,25,B001,5
O000396,2014-09-24,06:51:41,49,B001,8
O000398,2023-05-29,18:16:28,30,B001,10
O000400,2024-04-15,09:13:42,12,B001,4
O000402,2024-07-16,11:28:25,42,B001,9
O000403,2012-04-24,14:36:16,21,B001,2
O000404,2019-05-19,12:56:12,7,B001,2
O000408,2020-10-22,12:36:58,16,B001,5
O000412,2012-06-03,07:41:02,20,B001,3
O000413,2010-06-28,15:41:30,10,B001,5
O000414,2023-12-31,06:33:49,9,B001,4
O000421,2020-10-21,17:26:27,50,B001,9
O000424,2022-03-06,12:28:40,47,B001,9
O000427,2020-04-01,18:05:18,2,B001,3
O000431,2014-05-15,15:22:20,17,B001,5
O000432,2024-09-12,12:25:22,44,B001,6
O000434,2003-12-19,17:34:52,22,B001,3
O000439,2023-04-18,14:09:10,4,B001,2
O000442,2022-11-13,17:29:29,9,B001,2
O000443,2021-11-10,13:19:25,23,B001,4
O000444,2021-08-04,09:53:04,12,B001,3
O000446,2019-07-11,18:19:44,27,B001,7
O000447,2006-01-13,13:10:09,15,B001,4
O000449,2020-07-22,18:11:14,2,B001,2
O000453,2024-11-23,06:30:53,42,B001,8
O000454,2015-07-09,18:40:42,9,B001,5
O000455,2023-01-13,16:28:34,7,B001,4
O000460,2024-11-22,07:48:54,42,B001,6
O000476,2022-09-30,14:51:29,9,B001,4
O000481,2022-07-19,18:42:02,3,B001,3
O000483,2021-01-05,07:30:03,29,B001,8
O000496,2023-06-02,16:02:05,24,B001,5
O000500,2023-07-05,17:31:40,39,B001,6
O000507,2024-07-04,07:16:54,37,B001,7
O000508,2012-05-03,11:02:00,15,B001,5
O000510,2011-12-19,15:26:24,28,B001,7
O000512,1998-09-12,18:21:54,29,B001,7
O000513,2022-02-20,07:29:51,2,B001,5
O000514,2024-05-13,15:08:55,21,B001,2
O000516,2009-12-12,11:10:22,1,B001,2
O000517,2020-02-04,07:43:11,49,B001,8
O000518,2012-03-15,17:06:13,46,B001,8
O000522,2015-05-25,14:50:14,29,B001,6
O000524,2022-05-26,15:13:34,34,B001,8
O000530,2024-08-30,14:30:34,28,B001,10
O000531,2012-08-18,10:44:36,26,B001,9
O000535,2018-06-30,16:11:59,41,B001,7
O000537,2021-08-13,15:53:54,44,B001,8
O000540,2020-01-17,07:58:30,6,B001,2
O000543,2024-10-27,16:35:03,7,B001,1
O000546,2012-09-11,14:32:11,40,B001,9
O000551,2020-03-10,10:24:21,15,B001,1
O000552,2023-11-22,15:25:34,29,B001,6
O000559,2015-03-27,10:38:44,14,B001,3
O000561,2020-11-16,12:34:46,49,B001,6
O000562,2015-11-29,13:59:56,39,B001,9
O000564,2024-02-22,15:00:31,14,B001,5
O000567,2023-01-12,13:59:41,20,B001,2
O000571,2023-10-09,13:39:29,25,B001,1
O000574,2014-03-22,11:04:59,17,B001,3
O000575,2022-05-18,10:28:10,39,B001,6
O000578,2020-01-29,13:35:44,24,B001,4
O000580,2009-05-30,14:49:28,13,B001,2
O000581,2023-11-02,13:30:41,47,B001,7
O000582,2024-10-11,08:59:12,18,B001,1
O000584,2021-04-19,15:23:01,34,B001,7
O000590,2023-11-24,07:09:39,41,B001,9
O000593,2017-09-22,09:25:43,11,B001,1
O000596,2011-11-04,08:17:51,15,B001,4
O000598,2013-10-24,06:46:09,31,B001,7
O000604,2014-10-02,18:05:53,30,B001,8
O000605,2002-05-30,08:21:33,41,B001,10
O000606,2005-03-02,10:56:56,29,B001,8
O000607,2023-12-09,15:13:21,17,B001,2
O000608,2022-12-29,13:02:13,21,B001,5
O000610,2023-11-19,18:49:18,39,B001,6
O000613,2019-11-12,17:50:25,11,B001,2
O000614,2024-12-14,16:18:20,7,B001,3
O000616,2024-04-19,08:10:52,13,B001,3
O000617,2011-12-13,13:46:43,17,B001,5
O000618,2013-01-22,11:45:27,40,B001,9
O000621,2024-10-31,13:25:46,13,B001,1
O000622,2016-02-15,09:57:53,41,B001,6
O000623,2013-10-04,18:09:27,44,B001,10
O000625,2024-04-13,15:43:57,28,B001,7
