OFORDER_ID,TABLE_NUMBER,EMPLOYEE_ID,BRANCH_ID,EMPLYEE_RATING
O000001,5,E001759,B001,5
O000005,6,E015039,B005,5
O000019,22,E014863,B001,5
O000022,9,E000694,B001,2
O000023,26,E004471,B001,5
O000024,2,E012816,B001,5
O000035,25,E001164,B001,5
O000037,34,E010320,B001,5
O000038,23,E000338,B001,3
O000041,19,E001649,B001,5
O000049,18,E013354,B001,5
O000051,8,E000808,B001,5
O000053,33,E014660,B001,2
O000054,32,E002819,B001,3
O000055,32,E005184,B001,2
O000058,49,E014948,B001,5
O000064,14,E000919,B001,5
O000067,20,E004132,B001,5
O000068,31,E000981,B001,3
O000069,13,E003468,B001,5
O000070,30,E001765,B001,5
O000072,38,E001747,B001,1
O000076,17,E010812,B001,5
O000078,9,E002363,B001,1
O000085,16,E009112,B001,5
O000091,38,E008886,B001,1
O000093,23,E007611,B001,5
O000103,41,E001751,B001,1
O000104,39,E001036,B001,4
O000106,5,E001606,B001,5
O000109,31,E008197,B001,5
O000112,17,E009556,B001,1
O000120,38,E003771,B001,5
O000126,4,E012043,B001,5
O000128,9,E004606,B001,5
O000133,24,E004088,B001,5
O000135,13,E011250,B001,5
O000137,27,E003137,B001,5
O000139,6,E013426,B001,4
O000140,33,E014397,B001,5
O000143,29,E012723,B001,5
O000147,30,E007330,B001,5
O000148,44,E005628,B001,3
O000149,38,E007426,B001,5
O000152,24,E005697,B001,5
O000155,6,E000211,B001,2
O000158,38,E000780,B001,1
O000161,30,E002721,B001,5
O000162,33,E000106,B001,2
O000164,2,E009334,B001,5
O000166,46,E004877,B001,2
O000172,5,E003282,B001,5
O000173,27,E011431,B001,1
O000176,11,E007601,B001,3
O000177,45,E005726,B001,4
O000178,46,E004485,B001,5
O000180,18,E000074,B001,5
O000181,49,E006169,B001,4
O000184,41,E013690,B001,4
O000187,37,E003516,B001,5
O000188,11,E006518,B001,5
O000195,37,E009220,B001,5
O000196,25,E004983,B001,5
O000198,4,E004842,B001,5
O000207,17,E006864,B001,3
O000210,5,E006728,B001,5
O000213,40,E006700,B001,2
O000216,19,E009887,B001,5
O000221,15,E010097,B001,5
O000222,46,E014293,B001,5
O000231,15,E007440,B001,5
O000233,10,E011178,B001,1
O000235,32,E013398,B001,4
O000239,8,E009656,B001,5
O000243,48,E014681,B001,5
O000244,39,E010198,B001,3
O000247,6,E011814,B001,5
O000248,29,E007308,B001,3
O000249,2,E014354,B001,3
O000253,41,E003442,B001,4
O000261,44,E008430,B001,1
O000262,28,E010995,B001,4
O000264,9,E004242,B001,5
O000272,19,E013827,B001,3
O000275,21,E008075,B001,5
O000277,45,E009090,B001,3
O000278,4,E012610,B001,2
O000281,47,E014963,B001,4
O000285,38,E003059,B001,3
O000287,30,E003694,B001,3
O000289,44,E003071,B001,4
O000294,43,E007328,B001,5
O000295,13,E008634,B001,4
O000296,33,E006425,B001,5
O000299,33,E012692,B001,5
O000303,30,E002050,B001,5
O000308,41,E008070,B001,5
O000309,32,E013596,B001,5
O000310,5,E006778,B001,5
O000311,23,E002206,B001,4
O000314,43,E009017,B001,1
O000320,46,E002538,B001,5
O000323,38,E005533,B001,1
O000330,24,E001530,B001,1
O000337,23,E002435,B001,5
O000340,1,E014853,B001,3
O000342,34,E000898,B001,5
O000345,4,E013388,B001,5
O000346,9,E012689,B001,4
O000350,43,E000847,B001,4
O000355,39,E004623,B001,5
O000360,17,E003360,B001,5
O000362,11,E003963,B001,5
O000367,18,E006382,B001,3
O000368,48,E001213,B001,5
O000370,25,E000124,B001,5
O000372,48,E013450,B001,4
O000377,37,E000415,B001,5
O000378,30,E014516,B001,5
O000379,41,E002445,B001,4
O000381,42,E009533,B001,2
O000384,19,E012681,B001,5
O000385,43,E007721,B001,5
O000386,47,E003942,B001,5
O000390,8,E013504,B001,2
O000394,13,E001475,B001,5
O000395,31,E002180,B001,5
O000398,21,E009340,B001,4
O000400,50,E004329,B001,5
O000401,47,E011957,B001,1
O000402,5,E014100,B001,5
O000406,42,E010962,B001,5
O000407,24,E006419,B001,5
O000414,30,E002322,B001,5
O000415,9,E001648,B001,5
O000418,13,E008955,B001,5
O000420,13,E008074,B001,5
O000422,32,E000157,B001,5
O000427,50,E000130,B001,5
O000428,40,E005761,B001,4
O000430,21,E013294,B001,1
O000431,49,E005724,B001,5
O000432,7,E009242,B001,5
O000437,10,E011573,B001,5
O000442,31,E011269,B001,1
O000444,17,E012971,B001,5
O000449,7,E010395,B001,3
O000458,17,E014488,B001,5
O000460,40,E006179,B001,5
O000461,30,E012131,B001,5
O000470,33,E001670,B001,5
O000473,34,E001451,B001,5
O000477,19,E014569,B001,5
O000478,41,E008923,B001,5
O000484,18,E008910,B001,3
O000485,46,E012735,B001,5
O000490,26,E008086,B001,5
O000495,24,E002080,B001,5
O000499,49,E003620,B001,5
O000503,26,E006003,B001,1
O000508,11,E008528,B001,5
O000510,14,E010977,B001,3
O000512,40,E007606,B001,5
O000515,42,E011941,B001,2
O000516,35,E007949,B001,5
O000519,1,E014798,B001,4
O000520,30,E014819,B001,5
O000525,5,E011413,B001,5
O000526,41,E001678,B001,5
O000528,26,E014355,B001,5
O000532,33,E009537,B001,5
O000534,18,E008607,B001,5
O000538,36,E009708,B001,5
O000539,43,E011518,B001,5
O000544,5,E010928,B001,5
O000547,36,E007259,B001,5
O000549,36,E007027,B001,5
O000550,22,E013841,B001,3
O000555,38,E009583,B001,1
O000556,42,E004857,B001,2
O000557,11,E014055,B001,5
O000558,8,E004412,B001,1
O000560,29,E004584,B001,5
O000562,25,E001218,B001,5
O000565,22,E000051,B001,5
O000567,50,E007511,B001,1
O000569,14,E001397,B001,5
O000571,15,E003963,B001,5
O000574,30,E012185,B001,3
O000575,19,E001040,B001,1
O000577,49,E011798,B001,5
O000581,45,E010682,B001,1
O000583,39,E013641,B001,5
O000585,29,E009459,B001,1
O000586,41,E006156,B001,4
O000587,15,E012389,B001,5
O000588,8,E006144,B001,5
O000591,6,E013767,B001,5
O000592,21,E012617,B001,5
O000597,41,E005477,B001,5
O000603,22,E000154,B001,5
O000613,48,E009524,B001,5
O000619,32,E001440,B001,1
O000624,21,E004564,B001,4
O000631,34,E009540,B001,5
O000635,32,E010544,B001,5
O000639,23,E008612,B001,5
O000642,3,E007120,B001,3
O000645,40,E000838,B001,2
O000646,20,E005592,B001,5
O000648,30,E008162,B001,5
O000649,19,E006921,B001,5
O000654,46,E007235,B001,5
O000659,8,E011727,B001,5
O000660,3,E010835,B001,5
O000671,20,E009348,B001,5
O000672,11,E004046,B001,1
O000673,22,E012185,B001,5
O000682,26,E004076,B001,5
O000683,29,E010109,B001,5
O000689,34,E011536,B001,5
O000691,49,E013003,B001,3
O000692,40,E014027,B001,5
O000693,33,E009594,B001,5
O000694,26,E008558,B001,5
O000697,13,E013329,B001,1
O000698,40,E013292,B001,5
O000702,26,E001593,B001,2
O000704,30,E011719,B001,4
O000706,49,E009991,B001,5
O000709,30,E004723,B001,5
O000712,50,E010648,B001,5
O000715,45,E012204,B001,5
O000721,42,E000539,B001,3
O000725,42,E011533,B001,2
O000726,30,E008435,B001,5
O000728,37,E003261,B001,5
O000729,11,E008151,B001,5
O000731,46,E008390,B001,5
O000732,27,E004032,B001,5
O000733,12,E006888,B001,5
O000734,12,E010345,B001,5
O000735,4,E006100,B001,5
O000743,8,E006745,B001,2
O000751,12,E009456,B001,5
O000754,31,E014545,B001,5
O000756,48,E004038,B001,5
O000760,40,E002371,B001,1
O000766,21,E001802,B001,1
O000768,35,E006929,B001,2
O000769,31,E003995,B001,5
O000774,27,E008088,B001,3
O000775,9,E010428,B001,5
O000776,25,E002677,B001,5
O000777,34,E002874,B001,5
O000778,32,E013357,B001,1
O000788,47,E008275,B001,5
O000794,3,E012709,B001,5
O000795,35,E013993,B001,1
O000796,46,E003238,B001,5
O000797,47,E012288,B001,5
O000799,7,E007515,B001,5
O000800,22,E003207,B001,3
O000804,10,E001668,B001,4
O000805,50,E001826,B001,5
O000814,17,E003503,B001,5
O000815,10,E012461,B001,1
O000817,5,E009415,B001,2
O000822,24,E014174,B001,5
O000827,26,E013912,B001,5
O000830,22,E008393,B001,5
O000833,21,E003937,B001,5
O000836,3,E004975,B001,3
O000837,41,E001847,B001,5
O000842,2,E002665,B001,5
O000844,9,E011041,B001,2
O000849,40,E006719,B001,5
O000851,15,E012414,B001,5
O000852,17,E010781,B001,5
O000856,29,E009437,B001,2
O000857,25,E007308,B001,5
O000859,6,E013101,B001,2
O000863,4,E007566,B001,5
O000865,4,E010699,B001,5
O000870,48,E005609,B001,3
O000871,42,E006996,B001,3
O000873,39,E009011,B001,5
O000878,45,E011287,B001,5
O000886,39,E003875,B001,2
O000890,23,E006269,B001,5
O000894,50,E007740,B001,5
O000900,41,E011383,B001,2
O000906,14,E006705,B001,5
O000910,23,E012481,B001,5
O000911,43,E005596,B001,1
O000912,36,E010554,B001,5
O000916,17,E004877,B001,5
O000917,25,E003109,B001,2
O000919,24,E009482,B001,2
O000921,3,E009288,B001,5
O000922,45,E005008,B001,1
O000923,3,E013293,B001,5
O000929,32,E001480,B001,5
O000933,45,E000576,B001,5
O000937,17,E002238,B001,5
O000939,37,E009776,B001,5
O000940,18,E005753,B001,5
O000942,31,E000360,B001,5
O000943,36,E001827,B001,5
O000947,28,E006177,B001,1
O000948,48,E013199,B001,5
O000952,27,E005720,B001,5
O000953,24,E006189,B001,5
O000955,37,E012582,B001,1
O000960,34,E001400,B001,5
O000961,50,E002742,B001,4
O000962,5,E013998,B001,5
O000965,24,E005460,B001,3
O000968,14,E006219,B001,1
O000971,7,E001813,B001,5
O000977,21,E004097,B001,5
O000979,23,E005216,B001,5
O000989,6,E013195,B001,2
O000990,28,E000685,B001,5
O000992,18,E010767,B001,5
O000993,12,E010079,B001,5
O000994,23,E000311,B001,3
O000996,18,E001507,B001,5
O000997,3,E013493,B001,2
O001002,2,E013589,B001,5
O001006,38,E011573,B001,3
O001015,43,E000037,B001,5
O001018,4,E001810,B001,4
O001023,30,E007667,B001,5
O001025,45,E003703,B001,5
O001030,30,E004747,B001,5
O001033,47,E006521,B001,5
O001034,9,E008303,B001,5
O001038,17,E007252,B001,5
O001040,39,E001017,B001,5
O001041,3,E005564,B001,4
O001043,40,E014544,B001,2
O001049,49,E013421,B001,5
O001050,25,E002341,B001,5
O001053,10,E011107,B001,5
O001054,38,E009355,B001,5
O001055,44,E007302,B001,5
O001057,21,E001633,B001,5
O001062,50,E011298,B001,5
O001070,50,E004825,B001,5
O001075,20,E012820,B001,3
O001076,42,E005121,B001,5
O001077,47,E009436,B001,5
O001078,21,E000368,B001,5
O001079,14,E001865,B001,5
O001081,31,E006404,B001,3
O001083,32,E011113,B001,5
O001087,4,E007825,B001,3
O001091,26,E004375,B001,2
O001092,40,E014798,B001,5
O001093,41,E014722,B001,1
O001094,34,E003618,B001,4
O001100,48,E014758,B001,5
O001106,1,E009288,B001,5
O001107,23,E007821,B001,5
O001108,42,E011400,B001,5
O001110,48,E011205,B001,5
O001113,2,E009928,B001,3
O001119,9,E009188,B001,5
O001120,47,E006039,B001,5
O001126,30,E012069,B001,5
O001128,3,E005190,B001,4
O001131,25,E005852,B001,3
O001145,36,E005728,B001,2
O001147,3,E003382,B001,5
O001148,41,E009502,B001,2
O001156,46,E003525,B001,5
O001157,33,E001539,B001,5
O001159,1,E012649,B001,5
O001162,41,E002399,B001,5
O001165,20,E006560,B001,5
O001169,31,E002678,B001,1
O001176,35,E011424,B001,3
O001179,8,E013829,B001,5
O001183,9,E001084,B001,5
O001185,3,E014753,B001,5
O001186,6,E002794,B001,4
O001188,29,E010818,B001,5
O001196,17,E007293,B001,5
O001201,31,E010489,B001,5
O001203,7,E006304,B001,1
O001204,22,E001551,B001,5
O001205,38,E014101,B001,5
O001214,45,E011690,B001,1
O001215,6,E000846,B001,5
O001220,19,E000045,B001,5
O001227,41,E011474,B001,1
O001228,22,E004333,B001,2
O001234,23,E012991,B001,3
O001237,18,E005810,B001,2
O001238,16,E001804,B001,5
O001242,9,E006307,B001,5
O001243,19,E005201,B001,5
O001245,16,E003196,B001,5
O001248,19,E009955,B001,5
O001249,10,E005426,B001,5
O001252,30,E013517,B001,1
O001254,41,E013440,B001,5
O001256,27,E006949,B001,1
O001257,23,E013973,B001,5
O001258,37,E005080,B001,5
O001259,41,E002182,B001,5
O001261,49,E011056,B001,5
O001262,36,E001649,B001,5
O001271,42,E013477,B001,2
O001276,9,E009683,B001,5
O001278,40,E009477,B001,5
O001279,9,E000445,B001,5
O001284,20,E013485,B001,5
O001287,29,E010715,B001,5
O001289,8,E010115,B001,5
O001290,24,E002601,B001,3
O001294,42,E003548,B001,5
O001297,45,E009310,B001,5
O001312,41,E004776,B001,5
O001316,28,E005946,B001,5
O001319,29,E004225,B001,5
O001320,32,E002482,B001,5
O001321,40,E005686,B001,2
O001322,47,E010780,B001,5
O001323,30,E013001,B001,1
O001326,20,E010673,B001,5
O001327,43,E003958,B001,5
O001328,36,E014117,B001,5
O001331,22,E010798,B001,3
O001332,8,E003693,B001,5
O001336,23,E012170,B001,5
O001338,5,E004829,B001,1
O001340,32,E009534,B001,3
O001344,33,E004537,B001,5
O001351,36,E005304,B001,5
O001360,22,E000555,B001,5
O001363,27,E013050,B001,5
O001367,24,E003954,B001,5
O001371,49,E008353,B001,5
O001377,49,E010998,B001,5
O001383,41,E005255,B001,5
O001384,4,E013910,B001,3
O001387,40,E002092,B001,5
O001394,42,E008237,B001,5
O001395,14,E007227,B001,5
O001397,36,E008467,B001,5
O001405,32,E004932,B001,4
O001406,13,E009667,B001,1
O001407,26,E008142,B001,5
O001408,24,E005664,B001,5
O001409,50,E002883,B001,1
O001414,32,E005429,B001,2
O001415,31,E014620,B001,5
O001417,34,E001053,B001,5
O001427,8,E010359,B001,5
O001429,25,E004519,B001,5
O001431,13,E006758,B001,5
O001438,1,E010948,B001,1
O001439,4,E006344,B001,5
O001448,19,E000496,B001,5
O001454,49,E007854,B001,5
O001456,5,E014288,B001,5
O001462,17,E010903,B001,5
O001463,10,E001300,B001,5
O001469,28,E014466,B001,5
O001470,6,E013699,B001,5
O001473,28,E001325,B001,5
O001475,34,E006303,B001,5
O001476,13,E000026,B001,5
O001480,45,E014463,B001,5
O001481,7,E001530,B001,2
O001484,25,E013824,B001,5
O001487,38,E013389,B001,2
O001488,26,E000408,B001,5
O001493,14,E012670,B001,5
O001497,37,E005077,B001,2
O001499,42,E014441,B001,5
O001500,42,E014549,B001,5
O001502,34,E005221,B001,2
O001504,9,E009757,B001,2
O001505,37,E002389,B001,3
O001506,22,E005664,B001,5
O001509,48,E002914,B001,5
O001512,12,E001893,B001,1
O001515,44,E012102,B001,4
O001519,31,E002741,B001,5
O001522,18,E013794,B001,1
O001531,38,E001431,B001,4
O001534,34,E001404,B001,5
O001537,29,E010627,B001,5
O001540,18,E014926,B001,5
O001543,2,E008065,B001,5
O001551,31,E007425,B001,5
O001555,48,E000225,B001,5
O001558,50,E004823,B001,3
O001566,50,E001156,B001,5
O001568,8,E011455,B001,1
O001570,24,E006117,B001,5
O001574,22,E002597,B001,5
O001576,41,E008303,B001,5
O001580,23,E008260,B001,5
O001584,50,E007277,B001,5
O001585,26,E013383,B001,5
O001589,12,E003118,B001,4
O001591,22,E004495,B001,4
O001594,19,E002875,B001,5
O001598,28,E005133,B001,1
O001599,44,E004729,B001,5
O001600,45,E006715,B001,4
O001603,32,E012420,B001,5
O001605,2,E003760,B001,5
O001615,30,E007406,B001,5
O001616,37,E008733,B001,5
O001619,24,E000442,B001,2
O001620,23,E012953,B001,5
O001621,21,E003312,B001,5
O001622,42,E009336,B001,5
O001626,33,E006286,B001,5
O001632,21,E008116,B001,5
O001636,7,E009600,B001,2
O001638,1,E000136,B001,5
O001639,39,E013474,B001,5
O001640,18,E009519,B001,1
O001641,28,E006011,B001,1
O001644,24,E004570,B001,5
O001647,44,E006047,B001,5
O001652,11,E007508,B001,5
O001656,24,E001828,B001,1
O001662,19,E010326,B001,4
O001663,38,E012958,B001,5
O001668,3,E000763,B001,5
O001669,3,E010769,B001,5
O001672,43,E001492,B001,5
O001674,35,E008500,B001,2
O001679,23,E001895,B001,5
O001680,1,E005303,B001,5
O001683,32,E005657,B001,5
O001687,41,E006536,B001,4
O001692,26,E006444,B001,5
O001694,35,E014356,B001,5
O001696,42,E001171,B001,5
O001697,48,E011089,B001,5
O001701,19,E009569,B001,4
O001708,38,E000264,B001,5
O001712,37,E010990,B001,5
O001713,17,E007678,B001,5
O001715,18,E004266,B001,5
O001717,43,E001175,B001,4
O001721,34,E005408,B001,4
O001730,26,E000078,B001,3
O001732,34,E013462,B001,5
O001734,28,E011867,B001,5
O001737,20,E001847,B001,4
O001740,45,E010364,B001,5
O001741,37,E009744,B001,5
O001743,3,E014765,B001,5
O001744,17,E014849,B001,5
O001745,42,E014673,B001,5
O001748,2,E010554,B001,1
O001751,27,E002286,B001,5
O001752,26,E014578,B001,2
O001757,17,E014723,B001,5
O001758,33,E010073,B001,5
O001762,8,E002219,B001,5
O001763,30,E013229,B001,5
O001765,32,E011511,B001,2
O001766,49,E007195,B001,5
O001767,38,E001105,B001,5
O001773,16,E007167,B001,5
O001774,8,E009910,B001,5
O001775,41,E007795,B001,5
O001776,20,E000310,B001,5
O001780,6,E002988,B001,5
O001781,36,E003236,B001,5
O001782,34,E009379,B001,5
O001785,30,E000756,B001,4
O001788,16,E006293,B001,1
O001794,22,E005973,B001,5
O001796,8,E010255,B001,4
O001797,19,E009686,B001,5
O001798,14,E005402,B001,5
O001802,4,E005233,B001,2
O001806,34,E005370,B001,5
O001808,26,E012617,B001,5
O001812,40,E002547,B001,5
O001813,39,E014699,B001,2
O001817,43,E014934,B001,5
O001818,29,E012540,B001,5
O001820,15,E001334,B001,5
O001822,43,E000797,B001,5
O001834,37,E000705,B001,2
O001835,15,E013851,B001,4
O001836,19,E011440,B001,5
O001837,20,E014155,B001,5
O001838,27,E001298,B001,5
O001844,40,E009318,B001,5
O001847,31,E005403,B001,5
O001849,35,E000964,B001,2
O001850,28,E002588,B001,2
O001851,49,E008727,B001,3
O001854,23,E003530,B001,5
O001855,46,E011647,B001,4
O001860,10,E002803,B001,3
O001863,6,E014710,B001,5
O001864,14,E014296,B001,2
O001865,16,E003526,B001,1
O001866,36,E001506,B001,5
O001873,10,E002246,B001,1
O001877,32,E014188,B001,3
O001878,47,E012307,B001,5
O001881,9,E008091,B001,5
O001882,40,E012675,B001,5
O001883,50,E014320,B001,4
O001888,12,E012340,B001,5
O001891,8,E001205,B001,5
O001893,32,E013658,B001,4
O001894,9,E008077,B001,5
O001897,2,E006986,B001,4
O001900,11,E005188,B001,5
O001903,16,E011682,B001,5
O001909,42,E002867,B001,2
O001910,9,E004054,B001,4
O001913,19,E012391,B001,5
O001919,36,E000364,B001,5
O001929,18,E001136,B001,1
O001932,27,E009192,B001,5
O001933,32,E010317,B001,5
O001934,37,E010307,B001,5
O001937,31,E006027,B001,5
O001939,11,E007933,B001,5
O001941,50,E014660,B001,3
O001945,20,E013971,B001,5
O001949,43,E000117,B001,3
O001955,42,E007081,B001,2
O001956,46,E006574,B001,5
O001962,29,E005872,B001,5
O001966,49,E011117,B001,5
O001970,49,E005147,B001,3
O001979,7,E004644,B001,5
O001987,20,E009414,B001,5
O001990,19,E005910,B001,4
O001994,3,E008504,B001,5
O001996,30,E000606,B001,5
O002001,2,E001736,B001,2
O002005,44,E003541,B001,2
O002008,2,E004090,B001,5
O002009,47,E004340,B001,5
O002012,24,E012732,B001,5
O002014,42,E011878,B001,5
O002016,3,E013965,B001,5
O002019,19,E001595,B001,5
O002025,28,E012981,B001,5
O002027,35,E012603,B001,5
O002029,2,E004865,B001,5
O002031,47,E001131,B001,5
O002038,27,E013806,B001,5
O002040,31,E000436,B001,5
O002042,34,E014733,B001,2
O002050,39,E006684,B001,4
O002056,4,E002919,B001,5
O002059,1,E009490,B001,5
O002062,40,E006146,B001,5
O002063,9,E008642,B001,1
O002065,18,E000846,B001,5
O002070,20,E001019,B001,5
O002071,7,E003769,B001,4
O002080,21,E007107,B001,5
O002083,26,E007894,B001,5
O002084,24,E008178,B001,2
O002090,41,E004823,B001,5
O002095,47,E006592,B001,2
O002096,24,E003235,B001,5
O002097,39,E005753,B001,5
O002098,12,E008103,B001,5
O002100,21,E000050,B001,4
O002106,10,E010357,B001,5
O002109,38,E012926,B001,5
O002112,43,E005779,B001,2
O002130,17,E014201,B001,5
O002132,23,E001087,B001,5
O002134,24,E008171,B001,5
O002135,16,E001877,B001,5
O002143,18,E010542,B001,5
O002144,35,E007276,B001,5
O002146,3,E004861,B001,5
O002149,47,E009204,B001,5
O002153,44,E013462,B001,5
O002156,4,E014711,B001,2
O002157,29,E013578,B001,2
O002160,7,E006731,B001,5
O002162,46,E000365,B001,5
O002163,28,E002097,B001,5
O002164,49,E013997,B001,5
O002165,45,E003436,B001,5
O002167,30,E014611,B001,5
O002168,8,E011085,B001,3
O002169,22,E007659,B001,5
O002170,11,E005222,B001,5
O002174,41,E004751,B001,5
O002175,11,E002333,B001,5
O002179,19,E014171,B001,5
O002186,50,E009689,B001,5
O002187,50,E004138,B001,5
O002188,9,E003121,B001,5
O002195,14,E009026,B001,5
O002196,32,E003973,B001,5
O002199,2,E012707,B001,2
O002204,5,E012765,B001,5
O002206,8,E012993,B001,1
O002207,16,E012156,B001,5
O002210,28,E010972,B001,4
O002211,18,E005297,B001,3
O002214,42,E011206,B001,5
O002215,35,E005447,B001,5
O002216,47,E003799,B001,5
O002217,19,E004309,B001,3
O002218,25,E010089,B001,5
O002220,50,E000399,B001,5
O002222,48,E000738,B001,5
O002225,16,E008072,B001,5
O002228,13,E006472,B001,5
O002230,34,E010986,B001,5
O002234,1,E009692,B001,1
O002237,15,E006806,B001,5
O002238,4,E008668,B001,5
O002241,21,E012839,B001,4
O002243,40,E003043,B001,5
O002246,17,E000750,B001,5
O002248,43,E005295,B001,5
