DORDER_ID,TIME_DELIVERY,DATE_DELIVERY
O000002,10:14:52,2020-09-29
O000003,19:04:26,2024-11-20
O000005,12:04:18,2016-08-19
O000007,16:52:49,2020-06-22
O000008,12:14:48,2022-05-08
O000009,16:58:52,2011-02-05
O000010,17:03:07,2012-10-06
O000017,08:14:59,1997-04-03
O000018,17:06:18,2008-03-06
O000020,09:21:11,2017-12-31
O000023,12:30:46,2023-08-11
O000024,10:15:03,2015-11-23
O000027,08:39:50,2019-12-19
O000031,14:15:25,2016-06-10
O000033,09:52:43,2020-03-19
O000036,08:27:09,2010-06-06
O000039,12:52:03,2012-11-05
O000045,13:07:46,2020-10-14
O000053,13:24:37,2009-10-19
O000061,10:07:14,2023-10-08
O000066,13:23:03,2023-02-15
O000067,11:42:25,2016-03-05
O000072,11:03:57,2015-09-21
O000076,07:13:03,2017-11-17
O000077,12:09:53,2021-01-27
O000081,18:57:14,2024-12-12
O000082,11:11:19,2022-12-12
O000085,14:16:24,2014-11-08
O000088,06:56:04,2024-08-09
O000091,07:32:33,2024-06-01
O000105,14:31:39,2023-11-24
O000107,11:41:19,2010-06-12
O000110,14:12:12,2000-09-02
O000118,08:50:03,2007-01-05
O000123,08:27:09,2014-04-26
O000124,14:45:49,2014-11-04
O000125,15:05:37,2020-11-07
O000126,08:13:56,2022-10-20
O000129,13:33:37,2022-07-05
O000130,07:11:24,2016-10-28
O000134,12:32:10,2022-06-13
O000135,11:20:56,2024-04-11
O000136,12:25:23,2022-09-04
O000138,10:48:14,2024-10-07
O000141,11:51:56,2020-08-14
O000147,08:31:32,2024-06-02
O000148,06:51:56,2024-09-06
O000151,18:54:30,2019-07-11
O000153,07:58:48,2021-08-02
O000156,10:08:43,2023-09-28
O000158,14:45:44,2017-06-28
O000159,11:47:32,2018-04-07
O000160,09:56:38,2021-01-25
O000162,12:38:12,2021-11-09
O000164,16:46:19,2011-04-25
O000166,18:52:01,2022-09-03
O000172,15:25:42,2022-09-30
O000175,18:03:52,2024-03-16
O000176,13:58:47,2023-08-30
O000184,11:59:26,2023-11-15
O000187,12:24:02,2021-05-14
O000193,15:30:12,2024-03-13
O000196,18:09:32,2024-12-08
O000200,17:43:46,2014-03-08
O000205,10:15:21,2008-07-27
O000207,12:43:32,2023-11-20
O000210,08:47:20,2017-09-29
O000218,14:15:49,2016-12-09
O000224,11:03:39,2021-06-29
O000225,11:43:22,2003-02-11
O000227,07:16:04,2023-12-19
O000230,10:07:15,2014-12-09
O000232,12:21:22,2023-05-25
O000236,15:13:26,2019-12-30
O000239,13:38:58,2003-02-04
O000243,12:23:24,2023-07-11
O000244,09:34:00,2024-06-30
O000245,11:55:01,2022-10-30
O000247,09:10:32,2007-02-08
O000255,09:40:17,2022-02-18
O000257,18:11:28,2022-06-28
O000260,07:02:31,2024-10-19
O000261,10:59:00,2003-02-22
O000262,10:33:50,1998-07-11
O000264,15:07:07,2016-11-06
O000268,07:33:45,2016-01-13
O000269,07:44:24,2010-02-06
O000274,14:04:00,2020-09-26
O000278,15:34:46,2024-03-21
O000279,06:31:36,2021-10-11
O000294,14:14:28,2022-03-13
O000300,06:54:27,2011-07-20
O000301,17:01:11,2012-12-02
O000302,07:14:11,2016-04-09
O000306,17:06:29,2010-09-12
O000308,14:24:27,2024-11-11
O000313,17:09:14,2022-09-03
O000318,06:44:35,2024-11-09
O000322,09:04:39,2024-05-31
O000325,16:56:25,2021-03-05
O000328,07:54:27,2018-06-28
O000329,09:04:24,2023-12-06
O000333,16:09:07,2021-02-27
O000335,11:35:48,2018-11-22
O000344,14:12:59,2015-07-18
O000347,12:15:52,2015-02-21
O000348,18:29:33,2022-05-20
O000349,16:12:07,2020-08-30
O000353,08:09:10,2013-10-21
O000354,17:25:38,2005-07-02
O000355,07:08:01,2012-10-14
O000363,11:53:11,2007-03-19
O000364,06:59:50,2015-09-20
O000369,11:39:00,2024-12-04
O000370,07:49:36,2021-12-13
O000374,07:29:09,2014-06-15
O000375,08:45:53,2017-03-11
O000377,18:34:08,2022-04-09
O000382,12:20:09,2014-11-07
O000383,18:20:33,2011-03-29
O000385,06:53:03,2021-06-03
O000389,14:12:43,2024-09-11
O000397,07:39:08,2015-02-10
O000399,12:56:29,2016-11-09
O000401,18:49:27,2024-07-12
O000405,11:42:46,2008-05-30
O000407,12:45:53,2023-04-26
O000409,15:02:30,2020-06-13
O000410,16:53:04,2022-04-10
O000411,07:47:09,2019-03-22
O000416,18:48:30,2023-09-14
O000417,16:02:05,2010-04-19
O000419,16:24:04,2020-01-04
O000420,18:48:41,2009-01-25
O000425,11:08:57,2023-07-06
O000433,18:36:11,2021-11-11
O000435,15:01:23,2018-11-14
O000436,09:51:29,2021-03-21
O000438,14:00:51,2017-07-29
O000440,15:20:15,2022-04-22
O000441,15:53:38,2018-07-12
O000445,14:14:47,2009-02-08
O000448,07:53:30,2024-12-15
O000451,18:59:12,2022-08-21
O000458,16:00:37,2024-06-03
O000459,09:39:39,2004-01-03
O000463,07:40:02,2018-03-21
O000469,11:01:25,2019-11-03
O000471,15:36:24,2016-09-05
O000472,07:07:40,2016-02-02
O000482,14:10:14,2024-08-07
O000486,11:33:25,2024-09-12
O000488,11:42:54,2016-12-14
O000489,07:33:43,2023-12-05
O000490,07:10:24,2023-08-23
O000491,15:10:30,2000-01-26
O000492,13:00:41,2022-06-02
