ORDER_ID,DISH_ID,QUANTITY
O000001,D108,1
O000002,D063,5
O000003,D130,8
O000004,D132,2
O000005,D095,1
O000006,D087,10
O000007,D170,7
O000008,D176,3
O000009,D196,5
O000010,D163,8
O000011,D092,3
O000012,D179,7
O000013,D167,8
O000014,D096,7
O000015,D131,3
O000016,D134,6
O000017,D107,1
O000018,D030,4
O000019,D013,7
O000020,D081,2
O000021,D017,9
O000022,D125,7
O000023,D173,7
O000024,D015,9
O000025,D126,5
O000026,D184,3
O000027,D023,10
O000028,D005,4
O000029,D147,9
O000030,D004,7
O000031,D110,4
O000032,D053,7
O000033,D114,1
O000034,D061,6
O000035,D136,9
O000036,D191,5
O000037,D132,3
O000038,D170,5
O000039,D088,9
O000040,D105,5
O000041,D077,8
O000042,D148,4
O000043,D185,3
O000044,D030,7
O000045,D111,5
O000046,D177,9
O000047,D038,7
O000048,D085,4
O000049,D042,4
O000050,D035,9
O000051,D058,8
O000052,D006,9
O000053,D072,7
O000054,D194,4
O000055,D023,7
O000056,D038,9
O000057,D134,8
O000058,D029,7
O000059,D062,4
O000060,D016,9
O000061,D112,3
O000062,D167,8
O000063,D044,2
O000064,D181,6
O000065,D163,6
O000066,D127,1
O000067,D158,1
O000068,D178,10
O000069,D154,1
O000070,D195,10
O000071,D008,2
O000072,D196,7
O000073,D012,3
O000074,D187,6
O000075,D199,8
O000076,D019,5
O000077,D181,6
O000078,D020,4
O000079,D132,7
O000080,D193,6
O000081,D034,10
O000082,D105,7
O000083,D015,5
O000084,D046,3
O000085,D083,9
O000086,D114,7
O000087,D130,7
O000088,D011,4
O000089,D064,7
O000090,D076,6
O000091,D010,6
O000092,D032,1
O000093,D073,1
O000094,D077,1
O000095,D189,5
O000096,D085,3
O000097,D044,7
O000098,D083,9
O000099,D022,10
O000100,D106,4
O000101,D100,8
O000102,D171,2
O000103,D034,1
O000104,D129,8
O000105,D156,8
O000106,D086,7
O000107,D056,3
O000108,D058,8
O000109,D115,1
O000110,D118,7
O000111,D183,2
O000112,D014,9
O000113,D081,5
O000114,D169,5
O000115,D112,6
O000116,D180,7
O000117,D130,4
O000118,D024,4
O000119,D115,4
O000120,D054,8
O000121,D194,1
O000122,D010,6
O000123,D064,5
O000124,D067,3
