OFORDER_ID,TABLE_NUMBER,EMPLOYEE_ID,BRANCH_ID,EMPLYEE_RATING,ORDER_TIME
O000006,20,E015053,B006,1,2015-03-04
O000011,17,E015108,B011,5,2008-11-12
O000016,43,E005758,B001,5,2018-12-22
O000021,41,E008588,B001,3,2006-05-09
O000025,14,E002614,B001,4,2024-02-15
O000026,38,E009746,B001,2,2023-09-04
O000028,10,E010492,B001,5,2021-03-16
O000037,25,E001003,B001,5,2018-08-16
O000038,36,E014056,B001,5,2000-07-19
O000040,5,E011129,B001,5,2023-01-03
O000043,11,E000636,B001,5,2024-07-27
O000044,4,E009794,B001,5,2022-09-05
O000046,48,E008168,B001,4,2019-10-05
O000047,7,E009072,B001,3,2024-11-06
O000048,34,E013404,B001,5,2024-04-22
O000050,37,E009466,B001,5,2018-09-11
O000052,10,E007852,B001,5,2014-10-27
O000054,15,E002471,B001,5,2017-10-27
O000055,34,E005637,B001,5,2022-02-05
O000056,50,E007014,B001,5,2011-05-23
O000057,17,E003956,B001,5,2023-04-15
O000058,4,E003429,B001,5,2016-09-18
O000059,19,E008089,B001,5,2008-01-17
O000063,43,E006115,B001,5,2017-10-17
O000065,1,E000065,B001,5,2021-03-05
O000069,8,E001052,B001,5,2019-06-06
O000071,36,E008358,B001,3,2011-08-25
O000073,13,E002626,B001,1,2006-01-20
O000074,43,E006342,B001,5,2024-11-28
O000075,37,E002024,B001,5,2022-05-24
O000079,50,E008411,B001,5,2022-04-16
O000084,34,E000018,B001,5,2016-05-31
O000087,26,E011905,B001,1,2024-02-02
O000092,5,E009354,B001,4,2020-04-02
O000094,38,E000272,B001,4,2021-08-13
O000096,21,E006347,B001,5,2012-03-28
O000098,13,E009571,B001,2,2020-01-18
O000099,34,E004425,B001,5,2017-11-18
O000101,40,E012103,B001,1,2023-06-04
O000103,26,E014790,B001,5,2010-12-29
O000104,20,E008848,B001,1,2020-11-04
O000113,19,E004058,B001,5,2024-11-30
O000115,16,E000128,B001,3,2024-05-24
O000117,27,E010945,B001,5,2020-06-29
O000128,19,E011392,B001,5,2002-07-08
O000131,44,E001361,B001,5,2023-05-07
O000143,30,E011932,B001,5,2021-09-14
O000146,7,E011583,B001,4,2015-02-18
O000150,37,E003009,B001,1,2003-05-18
O000152,23,E006944,B001,4,2005-11-11
O000157,13,E011237,B001,5,2013-09-26
O000167,24,E013828,B001,5,2016-07-10
O000169,39,E009063,B001,5,2021-03-15
O000171,49,E003869,B001,3,2017-01-25
O000173,12,E001602,B001,5,2014-09-18
O000177,35,E004291,B001,5,2020-07-08
O000180,44,E000171,B001,5,2024-08-06
O000182,10,E003368,B001,4,2021-04-27
O000188,16,E002078,B001,5,2021-10-24
O000190,26,E007128,B001,3,2023-05-13
O000194,36,E014810,B001,5,2009-01-17
O000198,4,E006072,B001,4,2018-03-08
O000199,14,E013546,B001,5,2022-12-22
O000203,14,E002509,B001,5,2023-02-17
O000204,22,E004150,B001,5,2024-05-09
O000206,30,E012978,B001,5,2005-08-01
O000211,14,E010964,B001,5,2024-09-20
O000212,2,E008777,B001,5,2023-10-01
O000214,22,E004068,B001,2,2016-03-09
O000215,41,E013829,B001,5,2022-09-18
O000219,45,E011279,B001,3,2023-12-31
O000223,42,E013210,B001,5,2023-11-27
O000226,19,E003240,B001,5,2024-03-25
O000234,8,E006488,B001,4,2021-09-15
O000235,22,E014265,B001,5,2014-04-27
O000237,44,E004434,B001,1,2016-03-27
O000238,10,E007720,B001,2,2024-09-24
O000241,46,E013690,B001,5,2020-05-31
O000246,25,E001171,B001,1,2020-02-08
O000248,5,E008136,B001,5,2013-03-31
O000250,12,E010479,B001,5,2019-06-08
O000251,30,E004332,B001,5,2023-10-21
O000253,45,E008064,B001,5,2022-10-06
O000263,12,E000118,B001,5,2018-09-11
O000271,48,E007913,B001,2,2016-05-26
O000272,5,E005730,B001,5,2023-06-19
O000273,5,E008735,B001,2,2020-09-14
O000275,20,E010526,B001,5,2020-10-30
O000276,11,E014293,B001,5,2009-08-16
O000277,35,E012206,B001,5,2015-07-29
O000282,13,E006166,B001,5,2020-05-08
O000284,46,E004901,B001,5,2024-04-13
O000286,19,E005704,B001,5,2002-08-03
O000287,45,E008166,B001,5,2023-06-30
O000288,43,E010317,B001,5,2024-10-15
O000289,22,E010134,B001,5,2017-10-20
O000290,3,E008577,B001,5,2021-11-13
O000292,19,E014322,B001,1,2005-05-23
O000295,33,E009303,B001,5,2024-06-18
O000303,44,E014573,B001,5,2018-09-12
O000304,47,E007291,B001,5,2020-04-24
O000309,37,E010863,B001,2,2014-08-10
O000310,50,E007720,B001,5,2019-07-02
O000311,36,E011116,B001,5,2020-04-22
O000312,42,E002366,B001,5,2023-04-09
O000314,14,E003279,B001,5,2024-05-09
O000315,49,E003255,B001,5,2023-08-13
O000316,28,E009128,B001,5,2019-06-15
O000324,2,E007816,B001,5,2011-08-16
O000326,40,E006181,B001,5,2007-11-07
O000330,43,E002079,B001,5,2023-04-24
O000332,41,E011279,B001,2,2024-08-04
O000334,29,E005248,B001,2,2008-08-22
O000336,15,E004054,B001,5,2005-10-30
O000337,18,E009321,B001,5,2020-09-25
O000338,6,E001353,B001,3,2024-07-14
O000341,5,E010505,B001,4,2017-08-17
O000342,31,E006077,B001,5,2019-01-05
O000343,18,E011474,B001,5,2022-11-19
O000345,15,E012321,B001,5,2024-10-25
O000346,30,E007668,B001,5,2017-01-19
O000351,13,E006482,B001,2,2016-12-10
O000352,2,E009457,B001,5,2018-09-16
O000356,23,E013800,B001,3,2023-10-20
O000360,30,E006130,B001,1,2016-10-02
O000361,13,E011619,B001,5,2011-02-03
O000362,18,E009820,B001,5,2023-02-16
O000366,41,E014589,B001,5,2024-10-23
O000367,16,E013054,B001,4,1999-05-09
O000372,9,E012432,B001,5,2023-11-12
O000373,12,E001871,B001,5,2024-04-11
O000376,21,E006227,B001,5,2018-10-24
O000378,34,E005111,B001,1,2003-07-08
O000379,38,E003783,B001,5,2023-11-10
O000381,41,E013442,B001,5,2015-01-15
O000384,40,E014371,B001,3,2023-08-06
