DEPARTMENT_ID,DEPARTMENT_NAME,BRANCH_ID
D001,Quan ly,B001
D002,Thu ngan,B001
D003,Le tan,B001
D004,Phuc vu ban,B001
D005,Dau bep,B001
D006,Phu bep,B001
D007,Nhan vien giao hang,B001
D008,Quan ly,B002
D009,Thu ngan,B002
D010,Le tan,B002
D011,Phuc vu ban,B002
D012,Dau bep,B002
D013,Phu bep,B002
D014,Nhan vien giao hang,B002
D015,Quan ly,B003
D016,Thu ngan,B003
D017,Le tan,B003
D018,Phuc vu ban,B003
D019,Dau bep,B003
D020,Phu bep,B003
D021,Nhan vien giao hang,B003
D022,Quan ly,B004
D023,Thu ngan,B004
D024,Le tan,B004
D025,Phuc vu ban,B004
D026,Dau bep,B004
D027,Phu bep,B004
D028,Nhan vien giao hang,B004
D029,Quan ly,B005
D030,Thu ngan,B005
D031,Le tan,B005
D032,Phuc vu ban,B005
D033,Dau bep,B005
D034,Phu bep,B005
D035,Nhan vien giao hang,B005
D036,Quan ly,B006
D037,Thu ngan,B006
D038,Le tan,B006
D039,Phuc vu ban,B006
D040,Dau bep,B006
D041,Phu bep,B006
D042,Nhan vien giao hang,B006
D043,Quan ly,B007
D044,Thu ngan,B007
D045,Le tan,B007
D046,Phuc vu ban,B007
D047,Dau bep,B007
D048,Phu bep,B007
D049,Nhan vien giao hang,B007
D050,Quan ly,B008
D051,Thu ngan,B008
D052,Le tan,B008
D053,Phuc vu ban,B008
D054,Dau bep,B008
D055,Phu bep,B008
D056,Nhan vien giao hang,B008
D057,Quan ly,B009
D058,Thu ngan,B009
D059,Le tan,B009
D060,Phuc vu ban,B009
D061,Dau bep,B009
D062,Phu bep,B009
D063,Nhan vien giao hang,B009
D064,Quan ly,B010
D065,Thu ngan,B010
D066,Le tan,B010
D067,Phuc vu ban,B010
D068,Dau bep,B010
D069,Phu bep,B010
D070,Nhan vien giao hang,B010
D071,Quan ly,B011
D072,Thu ngan,B011
D073,Le tan,B011
D074,Phuc vu ban,B011
D075,Dau bep,B011
D076,Phu bep,B011
D077,Nhan vien giao hang,B011
D078,Quan ly,B012
D079,Thu ngan,B012
D080,Le tan,B012
D081,Phuc vu ban,B012
D082,Dau bep,B012
D083,Phu bep,B012
D084,Nhan vien giao hang,B012
D085,Quan ly,B013
D086,Thu ngan,B013
D087,Le tan,B013
D088,Phuc vu ban,B013
D089,Dau bep,B013
D090,Phu bep,B013
D091,Nhan vien giao hang,B013
D092,Quan ly,B014
D093,Thu ngan,B014
D094,Le tan,B014
D095,Phuc vu ban,B014
D096,Dau bep,B014
D097,Phu bep,B014
D098,Nhan vien giao hang,B014
D099,Quan ly,B015
D100,Thu ngan,B015
D101,Le tan,B015
D102,Phuc vu ban,B015
D103,Dau bep,B015
D104,Phu bep,B015
D105,Nhan vien giao hang,B015
