BRANCH_START_DATE,BRANCH_END_DATE,EMPLOYEE_ID,BRANCH_ID
2021-07-09,,E000001,B002
2018-06-29,2018-07-05,E000002,B008
2020-11-20,2021-02-17,E000003,B002
2022-11-22,2023-04-25,E000004,B015
2020-12-28,,E000005,B011
2023-10-08,,E000006,B003
2021-07-06,2021-12-21,E000007,B008
2019-06-29,2019-07-15,E000008,B003
2017-09-14,2018-02-02,E000009,B011
2016-08-27,2016-09-20,E000010,B002
2017-07-25,2019-03-09,E000011,B009
2022-01-11,2022-01-16,E000012,B012
2020-03-07,2020-06-12,E000013,B010
2019-11-06,,E000014,B007
2021-02-14,2021-02-15,E000015,B014
2021-06-10,,E000016,B004
2022-07-04,2022-07-05,E000017,B008
2021-04-28,,E000018,B007
2024-07-30,,E000019,B002
2019-08-02,,E000020,B003
2024-05-19,,E000021,B014
2019-07-29,2020-02-13,E000022,B005
2017-09-18,2017-09-19,E000023,B003
2021-12-22,2021-12-23,E000024,B013
2023-02-05,,E000025,B015
2022-05-12,,E000026,B001
2024-02-24,,E000027,B006
2018-05-04,,E000028,B005
2021-09-05,,E000029,B013
2023-05-13,2023-05-20,E000030,B005
2022-11-21,,E000031,B009
2023-03-12,,E000032,B005
2018-04-05,2019-12-04,E000033,B013
2021-02-18,,E000034,B009
2024-08-10,,E000035,B002
2019-08-29,2019-08-31,E000036,B003
2022-05-19,2023-06-11,E000037,B010
2018-09-08,,E000038,B007
2019-11-15,2020-01-15,E000039,B007
2021-08-06,2021-08-07,E000040,B015
2018-01-22,2018-05-19,E000041,B005
2020-03-02,,E000042,B003
2019-05-07,2020-02-09,E000043,B009
2021-11-16,2023-03-18,E000044,B011
2023-08-30,,E000045,B012
2020-12-11,,E000046,B005
2019-10-31,,E000047,B003
2021-07-21,,E000048,B009
2015-12-16,,E000049,B006
2020-12-21,,E000050,B004
2016-12-10,2020-11-24,E000051,B010
2022-12-22,2022-12-23,E000052,B012
2023-04-07,2023-04-08,E000053,B006
2019-03-03,2019-03-04,E000054,B006
2021-05-11,2021-05-31,E000055,B015
2022-08-07,2023-01-18,E000056,B001
2022-12-21,,E000057,B003
2022-02-27,2022-03-09,E000058,B002
2019-03-04,2019-03-10,E000059,B014
2022-09-06,,E000060,B006
2021-04-17,2021-04-26,E000061,B010
2022-07-19,,E000062,B002
2023-10-17,,E000063,B010
2021-05-19,2021-06-06,E000064,B007
2019-09-10,2020-02-02,E000065,B007
2022-09-10,,E000066,B003
2022-08-18,2022-08-19,E000067,B007
2022-12-17,2022-12-18,E000068,B015
2022-03-14,2022-06-05,E000069,B006
2022-02-11,2022-08-02,E000070,B015
2023-07-26,,E000071,B008
2022-06-18,2022-06-19,E000072,B014
2022-04-02,,E000073,B014
2021-05-26,2021-06-08,E000074,B011
2021-06-19,2022-05-28,E000075,B013
2021-12-22,2022-05-16,E000076,B004
2022-12-12,2022-12-13,E000077,B009
2016-08-04,2016-08-24,E000078,B008
2022-06-10,,E000079,B011
2022-01-28,2022-06-19,E000080,B006
2019-03-25,2019-05-27,E000081,B013
2021-10-08,2022-01-22,E000082,B007
2021-11-11,2022-02-11,E000083,B007
2020-06-20,,E000084,B005
2019-11-18,2020-02-03,E000085,B005
2019-01-20,,E000086,B003
2017-02-06,,E000087,B013
2023-11-04,,E000088,B006
2019-03-19,,E000089,B005
2022-02-20,,E000090,B011
2023-10-17,,E000091,B001
2022-07-04,2022-07-29,E000092,B005
2023-10-08,,E000093,B003
2017-02-02,2019-01-05,E000094,B007
2024-06-09,,E000095,B015
2021-09-03,2022-10-09,E000096,B004
2023-09-12,,E000097,B008
2023-12-07,,E000098,B011
2015-11-25,2019-05-17,E000099,B008
2022-03-14,,E000100,B011
2017-08-10,2018-03-08,E000101,B011
2020-05-15,,E000102,B008
2023-10-31,,E000103,B008
2023-02-22,2023-07-25,E000104,B015
2022-02-06,,E000105,B013
2021-08-29,2022-04-22,E000106,B014
2022-11-05,,E000107,B002
2017-05-17,2019-01-04,E000108,B002
2024-05-03,,E000109,B008
2021-10-05,2021-10-06,E000110,B001
2021-01-19,,E000111,B001
2021-11-12,,E000112,B012
2017-04-05,2017-05-12,E000113,B012
2023-07-21,,E000114,B004
2023-04-13,,E000115,B007
2019-08-05,2019-08-28,E000116,B008
2021-07-17,,E000117,B005
2016-04-27,2016-06-07,E000118,B008
2018-05-17,2018-10-19,E000119,B015
2015-09-18,2016-07-05,E000120,B012
2021-12-10,2022-01-26,E000121,B003
2019-03-24,2019-05-08,E000122,B010
2023-07-03,,E000123,B009
2021-05-02,,E000124,B014
2023-04-20,,E000125,B011
2021-01-11,,E000126,B009
2020-11-30,2020-12-01,E000127,B008
2022-10-19,,E000128,B012
2022-02-19,2022-03-07,E000129,B009
2024-04-20,,E000130,B013
2021-09-12,2021-12-26,E000131,B002
2023-03-30,,E000132,B002
2017-04-05,2018-06-23,E000133,B014
2017-08-08,2018-04-07,E000134,B015
2024-09-04,,E000135,B015
2017-06-28,2017-08-07,E000136,B013
2017-05-20,2017-05-21,E000137,B012
2022-03-27,,E000138,B005
2023-05-18,,E000139,B005
2023-01-05,2023-03-25,E000140,B015
2024-03-21,,E000141,B011
2019-09-14,,E000142,B009
2018-09-15,2018-10-02,E000143,B009
2024-07-18,,E000144,B009
2023-12-01,,E000145,B011
2021-08-26,2022-01-09,E000146,B013
2021-04-07,,E000147,B012
2017-10-01,2017-10-02,E000148,B012
2023-02-24,,E000149,B002
2022-10-30,2023-01-29,E000150,B011
2015-09-23,2015-09-24,E000151,B006
2018-09-27,2020-12-08,E000152,B001
2020-12-06,2022-07-31,E000153,B001
2018-02-10,2018-03-31,E000154,B008
2020-03-10,,E000155,B010
2018-11-19,2018-11-20,E000156,B001
2023-08-27,,E000157,B005
2019-01-01,2021-10-18,E000158,B004
2016-04-09,2017-12-25,E000159,B007
2019-11-11,,E000160,B004
2022-01-10,2022-09-21,E000161,B010
2017-05-19,,E000162,B001
2017-03-09,2017-11-22,E000163,B012
2024-08-04,,E000164,B011
2022-10-18,,E000165,B004
2017-04-12,2017-04-16,E000166,B007
2024-10-09,,E000167,B012
2019-09-04,2019-09-05,E000168,B011
2024-03-03,,E000169,B014
2019-09-30,2021-03-08,E000170,B007
2022-06-20,2022-08-02,E000171,B011
2021-07-19,,E000172,B006
2022-03-08,,E000173,B006
2020-01-13,,E000174,B008
2019-09-12,2020-12-25,E000175,B014
2022-07-21,2022-10-17,E000176,B006
2023-06-22,2023-07-04,E000177,B011
2023-06-11,2023-08-11,E000178,B013
2017-08-04,2019-02-24,E000179,B009
2024-10-25,,E000180,B014
2022-06-14,,E000181,B005
2015-12-06,2015-12-07,E000182,B001
2016-05-05,2017-02-05,E000183,B011
2021-11-27,,E000184,B010
2024-11-11,,E000185,B007
2024-07-15,,E000186,B006
2019-11-20,2021-09-13,E000187,B013
2022-02-20,,E000188,B012
2020-04-09,,E000189,B011
2019-11-27,2021-01-26,E000190,B006
2016-05-11,2017-10-01,E000191,B007
2021-08-04,,E000192,B014
2021-07-04,2021-08-28,E000193,B013
2018-05-18,2019-05-04,E000194,B011
2018-11-21,,E000195,B011
