DORDER_ID,DATE_DELIVERY,TIME_DELIVERY
O000002,2024-09-06,12:30:08
O000003,2023-12-14,10:32:45
O000004,2023-10-05,17:50:30
O000005,2021-09-01,09:55:59
O000011,2016-08-28,17:40:28
O000017,2024-07-31,19:52:53
O000019,2021-06-30,21:55:11
O000026,2016-12-11,17:25:12
O000028,2024-10-08,15:32:00
O000035,2021-10-22,14:08:04
O000037,2023-05-28,19:01:12
O000048,2024-11-14,08:54:26
O000050,2022-12-23,19:29:01
O000051,2024-10-30,09:36:12
O000053,2020-06-06,08:53:41
O000056,2024-02-06,12:18:00
O000059,2018-10-10,10:58:48
O000060,2024-02-10,19:43:22
O000061,2023-07-04,08:54:19
O000062,2024-07-11,15:54:41
O000065,2018-07-09,17:51:37
O000067,2024-10-25,18:04:47
O000069,2022-09-29,12:28:40
O000078,2016-05-29,21:48:42
O000079,2019-03-11,17:29:00
O000082,2019-09-19,19:05:26
O000087,2021-03-16,19:05:50
O000088,2023-06-17,16:10:07
O000089,2023-07-25,11:37:13
O000091,2024-06-03,14:18:42
O000096,2016-02-21,21:02:48
O000098,2022-06-21,13:50:07
O000099,2024-11-23,18:43:39
O000101,2022-06-14,13:09:37
O000102,2018-10-26,09:25:57
O000103,2022-11-08,07:43:55
O000104,2022-04-15,17:48:00
O000105,2021-07-07,17:39:03
O000107,2024-07-08,08:46:53
O000108,2024-12-05,18:25:52
O000113,2018-06-14,18:30:08
O000120,2023-03-17,10:27:04
O000124,2024-02-15,12:52:30
O000126,2021-07-25,13:37:50
O000137,2020-05-24,12:57:10
O000141,2018-02-25,10:43:02
O000144,2023-09-26,09:27:38
O000147,2023-04-27,10:01:09
O000150,2018-04-08,21:21:06
O000154,2018-01-07,20:54:08
O000155,2024-07-17,16:18:00
O000156,2021-01-29,16:46:04
O000158,2024-03-23,08:47:29
O000170,2017-09-30,19:26:03
O000173,2021-05-09,19:36:40
O000178,2019-12-09,15:36:32
O000183,2023-03-22,16:16:45
O000186,2022-03-23,12:14:37
O000187,2020-05-15,22:00:35
O000190,2024-11-15,11:38:50
O000191,2024-12-01,13:45:55
O000192,2023-04-14,15:41:26
O000193,2022-10-31,11:59:00
O000194,2024-08-24,18:14:36
O000195,2021-12-25,20:53:52
O000196,2022-10-06,11:04:47
O000200,2016-09-05,09:38:33
O000205,2024-11-19,18:40:51
O000213,2020-12-14,10:43:20
O000214,2019-06-12,16:11:49
O000215,2023-03-28,17:29:23
O000220,2024-09-22,19:04:04
O000223,2024-08-06,10:32:11
O000224,2019-09-16,13:33:55
O000225,2024-07-13,13:31:27
O000226,2022-11-13,20:00:27
O000231,2024-02-10,16:22:34
O000232,2021-07-06,10:41:48
O000235,2021-08-26,16:05:51
O000237,2018-02-28,15:48:03
O000239,2024-06-14,19:16:07
O000244,2018-03-17,09:55:35
O000246,2016-01-06,08:16:37
O000250,2024-08-20,15:23:57
O000253,2017-12-02,13:20:50
O000260,2022-05-13,19:10:01
O000261,2024-06-11,16:39:10
O000264,2024-12-04,15:08:35
O000271,2024-04-02,21:25:24
O000274,2017-05-08,09:05:09
O000276,2018-10-29,21:39:44
O000277,2022-02-01,20:46:09
O000278,2021-12-21,18:21:53
O000280,2023-03-12,15:22:24
O000281,2019-09-27,19:41:46
O000282,2023-05-06,07:04:44
O000283,2024-03-02,11:54:31
O000286,2024-08-26,19:30:48
O000288,2022-08-02,20:42:52
O000290,2024-10-26,20:04:58
O000292,2024-11-19,08:09:57
O000294,2022-05-21,19:17:35
O000299,2022-05-02,12:26:29
O000303,2023-03-12,16:22:31
O000305,2022-09-11,07:24:06
O000306,2024-07-31,19:39:26
O000309,2019-12-08,10:47:36
O000310,2019-05-07,14:54:38
O000317,2023-12-30,17:33:14
O000320,2024-05-17,19:08:30
O000321,2024-11-16,11:27:34
O000324,2024-11-16,19:27:23
O000327,2016-08-29,14:00:54
O000331,2023-01-03,10:03:41
O000335,2023-08-27,19:23:44
O000337,2022-02-13,13:04:32
O000341,2023-12-24,07:54:22
O000344,2024-08-31,15:54:27
O000351,2023-10-27,07:23:34
O000355,2020-01-03,19:48:24
O000357,2023-04-02,11:56:31
O000359,2022-09-22,13:49:58
O000360,2020-05-15,13:05:36
O000361,2018-05-13,16:37:58
O000362,2021-06-12,15:51:26
O000363,2024-10-15,18:48:54
O000364,2015-12-13,18:42:09
O000365,2024-04-09,14:21:53
O000367,2019-06-06,19:18:57
O000373,2024-07-16,11:30:14
O000377,2021-03-13,20:18:49
O000378,2021-02-18,12:20:31
O000379,2018-07-10,13:58:26
O000385,2019-12-10,11:12:10
O000389,2020-10-31,16:56:00
O000391,2024-06-27,20:38:03
O000394,2019-10-25,09:00:37
O000396,2018-11-05,08:21:05
O000397,2022-08-21,14:30:58
O000401,2021-07-18,20:45:56
O000404,2024-11-18,16:09:23
O000406,2022-02-03,18:08:20
O000415,2021-08-21,16:40:02
O000417,2016-12-17,07:58:44
O000420,2018-03-31,09:24:15
O000422,2019-10-08,20:42:04
