INVOICE_ID,TOTAL_AMOUNT,DISCOUNT,ISSUE_DATE,ORDER_ID
I000001,0,0.0,2024-06-26,O000001
I000002,0,0.0,2021-11-23,O000002
I000003,0,0.0,2019-07-14,O000003
I000004,0,0.0,2018-02-26,O000004
I000005,0,0.0,2022-02-05,O000005
I000006,0,0.0,2020-10-26,O000006
I000007,0,0.0,2024-03-23,O000007
I000008,0,0.0,2024-02-04,O000008
I000009,0,0.0,2021-09-19,O000009
I000010,0,0.0,2023-12-03,O000010
I000011,0,0.0,2024-06-10,O000011
I000012,0,0.0,2017-04-24,O000012
I000013,0,0.0,2022-10-02,O000013
I000014,0,0.0,2020-12-09,O000014
I000015,0,0.0,2023-08-17,O000015
I000016,0,0.0,2017-12-26,O000016
I000017,0,0.0,2021-02-14,O000017
I000018,0,0.0,2024-07-17,O000018
I000019,0,0.0,2022-09-18,O000019
I000020,0,0.0,2016-06-08,O000020
I000021,0,0.0,2023-03-15,O000021
I000022,0,0.0,2020-06-19,O000022
I000023,0,0.0,2021-10-21,O000023
I000024,0,0.0,2023-01-04,O000024
I000025,0,0.0,2022-10-14,O000025
I000026,0,0.0,2021-03-30,O000026
I000027,0,0.0,2021-06-30,O000027
I000028,0,0.0,2017-03-08,O000028
I000029,0,0.0,2020-01-01,O000029
I000030,0,0.0,2024-01-27,O000030
I000031,0,0.0,2023-08-17,O000031
I000032,0,0.0,2024-07-08,O000032
I000033,0,0.0,2022-09-15,O000033
I000034,0,0.0,2021-12-17,O000034
I000035,0,0.0,2023-08-10,O000035
I000036,0,0.0,2022-07-19,O000036
I000037,0,0.0,2023-04-12,O000037
I000038,0,0.0,2024-11-01,O000038
I000039,0,0.0,2022-05-06,O000039
I000040,0,0.0,2021-01-23,O000040
I000041,0,0.0,2022-06-03,O000041
I000042,0,0.0,2019-04-22,O000042
I000043,0,0.0,2021-03-07,O000043
I000044,0,0.0,2020-01-31,O000044
I000045,0,0.0,2023-10-16,O000045
I000046,0,0.0,2024-02-10,O000046
I000047,0,0.0,2020-11-02,O000047
I000048,0,0.0,2023-04-14,O000048
I000049,0,0.0,2017-05-13,O000049
I000050,0,0.0,2020-06-08,O000050
I000051,0,0.0,2016-12-07,O000051
I000052,0,0.0,2022-06-17,O000052
I000053,0,0.0,2023-03-23,O000053
I000054,0,0.0,2017-06-12,O000054
I000055,0,0.0,2023-08-09,O000055
I000056,0,0.0,2019-03-17,O000056
I000057,0,0.0,2017-06-18,O000057
I000058,0,0.0,2024-08-19,O000058
I000059,0,0.0,2023-10-07,O000059
I000060,0,0.0,2023-09-16,O000060
I000061,0,0.0,2021-12-23,O000061
I000062,0,0.0,2024-09-11,O000062
I000063,0,0.0,2022-01-13,O000063
I000064,0,0.0,2024-07-17,O000064
I000065,0,0.0,2024-06-15,O000065
I000066,0,0.0,2020-03-04,O000066
I000067,0,0.0,2022-06-03,O000067
I000068,0,0.0,2024-05-04,O000068
I000069,0,0.0,2020-09-04,O000069
I000070,0,0.0,2023-03-03,O000070
I000071,0,0.0,2018-07-03,O000071
I000072,0,0.0,2019-07-06,O000072
I000073,0,0.0,2020-04-05,O000073
I000074,0,0.0,2021-09-11,O000074
I000075,0,0.0,2018-05-23,O000075
I000076,0,0.0,2024-02-29,O000076
I000077,0,0.0,2024-11-11,O000077
I000078,0,0.0,2018-11-26,O000078
I000079,0,0.0,2023-07-08,O000079
I000080,0,0.0,2024-08-24,O000080
I000081,0,0.0,2018-08-27,O000081
I000082,0,0.0,2022-11-26,O000082
I000083,0,0.0,2024-01-27,O000083
I000084,0,0.0,2021-10-07,O000084
I000085,0,0.0,2017-08-31,O000085
I000086,0,0.0,2017-03-24,O000086
I000087,0,0.0,2022-07-22,O000087
I000088,0,0.0,2021-11-05,O000088
I000089,0,0.0,2022-09-04,O000089
I000090,0,0.0,2019-11-05,O000090
I000091,0,0.0,2024-05-04,O000091
I000092,0,0.0,2024-05-30,O000092
I000093,0,0.0,2021-06-02,O000093
I000094,0,0.0,2017-10-01,O000094
I000095,0,0.0,2024-04-08,O000095
I000096,0,0.0,2022-02-14,O000096
I000097,0,0.0,2024-02-07,O000097
I000098,0,0.0,2021-03-02,O000098
I000099,0,0.0,2019-01-21,O000099
I000100,0,0.0,2021-06-12,O000100
I000101,0,0.0,2021-02-19,O000101
I000102,0,0.0,2018-11-24,O000102
I000103,0,0.0,2021-11-01,O000103
I000104,0,0.0,2016-10-27,O000104
I000105,0,0.0,2022-08-20,O000105
I000106,0,0.0,2023-03-15,O000106
I000107,0,0.0,2023-09-08,O000107
I000108,0,0.0,2022-03-18,O000108
I000109,0,0.0,2024-11-29,O000109
I000110,0,0.0,2020-04-15,O000110
I000111,0,0.0,2017-01-01,O000111
I000112,0,0.0,2023-12-16,O000112
I000113,0,0.0,2024-09-02,O000113
