OORDER_ID,ARRIVAL_DATE,ARRIVAL_TIME,TABLE_NUMBER,CUSTOMER_QUANTITY,BRANCH_ID
O000001,2024-06-30,17:17:40,12,2,B014
O000003,2019-07-18,17:05:07,11,5,B003
O000005,2022-02-08,09:08:24,7,4,B001
O000008,2024-02-07,17:06:06,36,9,B012
O000013,2022-10-07,20:16:27,39,6,B002
O000014,2020-12-09,07:38:31,41,8,B013
O000018,2024-07-17,16:17:14,27,7,B011
O000023,2021-10-21,13:00:35,17,4,B014
O000026,2021-03-30,18:53:51,49,8,B005
O000028,2017-03-15,10:58:08,5,3,B005
O000031,2023-08-18,15:44:58,7,5,B015
O000039,2022-05-07,20:57:04,48,8,B009
O000042,2019-04-25,09:26:07,36,6,B013
O000045,2023-10-20,11:25:03,29,6,B010
O000050,2020-06-12,18:22:57,45,7,B010
O000051,2016-12-08,10:42:59,42,9,B006
O000054,2017-06-19,13:12:03,29,10,B003
O000057,2017-06-25,13:03:42,30,7,B003
O000062,2024-09-14,10:47:41,24,1,B012
O000064,2024-07-20,19:55:35,6,5,B005
O000066,2020-03-11,17:06:06,44,9,B007
O000067,2022-06-05,19:21:24,45,10,B005
O000071,2018-07-06,14:20:29,11,1,B002
O000072,2019-07-06,11:28:54,15,5,B002
O000076,2024-02-29,21:02:21,3,3,B002
O000078,2018-12-02,14:34:35,5,1,B015
O000086,2017-03-26,12:03:46,27,8,B005
O000088,2021-11-11,21:05:07,12,3,B002
O000091,2024-05-10,19:01:57,14,4,B004
O000092,2024-06-05,19:45:54,49,6,B011
O000095,2024-04-12,17:35:53,38,7,B004
O000097,2024-02-12,13:04:37,18,2,B014
O000098,2021-03-06,16:57:56,16,5,B011
O000101,2021-02-23,16:16:41,47,6,B015
O000103,2021-11-04,15:26:23,20,3,B006
O000104,2016-10-29,21:19:28,24,5,B006
O000106,2023-03-16,16:59:07,39,8,B008
O000108,2022-03-20,16:28:45,21,5,B010
O000110,2020-04-17,11:05:56,1,2,B010
O000111,2017-01-01,18:23:30,5,1,B009
O000114,2022-05-02,16:34:48,12,5,B002
O000120,2020-10-30,17:13:08,1,2,B003
O000122,2021-08-25,14:40:13,23,4,B003
O000127,2016-02-12,12:52:36,40,7,B002
O000129,2021-11-27,20:06:47,6,3,B015
O000130,2022-03-13,10:49:45,47,8,B004
O000131,2023-07-12,08:10:47,31,10,B013
O000133,2024-10-14,21:43:53,50,6,B002
O000134,2023-09-05,15:53:09,14,5,B003
O000136,2022-09-28,13:31:04,23,4,B009
O000137,2020-02-10,15:49:46,4,4,B006
O000138,2020-03-19,10:25:00,21,1,B005
O000139,2018-09-22,13:38:24,8,3,B015
O000144,2022-07-07,12:24:10,29,8,B009
O000148,2022-08-19,15:11:36,19,4,B002
O000151,2024-07-01,17:50:52,40,10,B009
O000155,2020-05-21,16:39:34,8,1,B014
O000157,2017-12-01,19:59:09,46,10,B006
O000158,2016-09-23,11:03:45,16,4,B011
O000163,2021-08-02,07:53:48,43,7,B008
O000167,2021-02-10,12:29:19,5,3,B007
O000169,2021-04-29,12:40:44,17,3,B014
O000171,2022-12-26,10:55:11,18,5,B003
O000174,2018-10-08,19:20:25,17,2,B012
O000176,2022-09-18,14:08:43,17,3,B009
O000177,2023-07-25,08:58:11,5,4,B014
O000178,2024-05-09,13:09:41,30,10,B009
O000181,2020-05-18,10:26:17,18,2,B003
O000190,2020-08-15,17:20:49,36,10,B015
O000192,2016-11-27,09:04:19,35,10,B003
O000194,2021-08-12,12:05:03,5,5,B001
O000199,2024-09-27,15:31:18,11,1,B014
O000200,2022-05-01,13:26:28,3,2,B015
O000201,2024-05-13,16:32:39,38,6,B005
O000202,2021-08-03,21:37:44,40,8,B002
O000206,2022-07-01,09:26:03,13,5,B012
O000212,2023-10-13,09:01:20,35,6,B015
O000213,2024-01-26,11:44:10,32,7,B012
O000216,2020-05-23,12:39:58,2,5,B004
O000224,2022-05-20,20:23:19,14,2,B001
O000226,2020-05-15,19:27:07,34,6,B011
O000228,2024-02-23,20:23:23,15,3,B002
O000229,2020-09-13,21:10:20,35,10,B001
O000232,2023-04-13,09:57:15,34,9,B002
O000236,2020-05-01,20:32:46,26,9,B005
O000238,2021-05-24,22:02:58,10,3,B006
O000239,2024-02-13,15:21:08,14,4,B010
O000240,2023-11-26,12:16:18,36,10,B003
O000243,2019-05-06,19:58:34,44,9,B007
O000244,2024-10-19,16:30:46,6,2,B008
O000246,2020-08-19,18:29:32,11,4,B012
O000247,2019-11-30,21:08:19,2,4,B005
O000249,2021-04-13,11:39:04,47,7,B014
O000255,2021-02-12,16:35:48,42,8,B013
O000256,2024-01-18,18:53:35,22,1,B003
O000258,2024-10-04,17:30:34,26,7,B010
O000263,2024-03-17,12:10:02,28,9,B009
O000270,2024-08-25,11:09:37,7,2,B010
O000273,2022-05-07,15:18:21,31,10,B007
O000274,2018-11-27,15:30:19,33,6,B014
O000277,2019-06-17,19:22:04,31,10,B013
O000280,2022-05-01,11:30:27,15,4,B014
O000282,2022-10-10,21:31:05,20,3,B009
O000283,2023-01-18,18:55:29,18,5,B013
O000288,2022-12-08,20:07:31,35,7,B010
O000292,2018-05-26,07:27:59,3,2,B013
O000297,2020-12-20,09:01:22,36,9,B003
O000298,2021-12-22,18:06:37,8,1,B010
O000304,2024-06-14,14:28:07,41,10,B009
O000309,2024-10-14,12:08:22,40,10,B010
O000311,2020-03-27,14:27:03,31,7,B009
O000312,2022-11-02,13:44:07,40,10,B012
O000313,2021-01-16,15:19:14,24,3,B014
O000316,2019-10-27,07:46:46,23,5,B008
O000318,2018-12-15,14:36:42,34,6,B009
O000319,2021-04-21,11:26:12,44,10,B009
O000323,2022-06-08,14:09:32,16,5,B012
O000331,2024-11-29,20:36:50,35,6,B014
O000333,2024-09-25,14:57:06,12,4,B008
O000334,2021-01-14,08:54:05,34,9,B015
O000335,2023-09-29,11:23:36,25,4,B002
O000339,2021-12-23,09:39:22,36,9,B002
O000340,2018-04-03,11:14:02,32,7,B008
O000341,2023-07-26,18:24:05,25,4,B006
O000344,2024-11-05,20:39:10,21,4,B014
O000345,2022-11-23,12:41:27,12,3,B014
O000346,2017-04-28,10:24:56,14,5,B006
O000347,2017-10-18,15:55:04,37,6,B003
O000351,2022-10-16,15:52:13,40,8,B014
O000352,2016-08-27,19:28:59,28,6,B004
O000353,2022-11-12,12:15:16,24,5,B011
O000355,2024-10-25,10:36:47,13,4,B003
O000356,2023-08-19,19:17:44,15,5,B006
O000360,2021-08-21,10:30:13,23,3,B008
O000361,2023-12-07,19:21:33,11,4,B011
O000363,2024-01-11,20:07:22,19,4,B003
O000365,2022-12-14,08:16:58,7,5,B013
O000367,2024-06-18,20:08:07,17,2,B005
O000369,2018-09-09,15:45:07,47,8,B007
O000371,2023-03-20,19:16:07,46,8,B004
O000373,2022-09-09,17:03:46,21,5,B006
O000375,2023-11-14,15:15:38,38,6,B011
O000376,2021-10-22,16:59:13,22,5,B008
O000378,2022-04-15,10:52:28,39,8,B009
O000379,2024-01-25,14:18:30,48,7,B015
O000381,2017-01-03,21:16:15,13,3,B002
O000382,2023-02-14,08:24:26,33,8,B011
O000384,2019-06-22,12:25:58,48,10,B002
O000387,2020-02-15,11:22:02,29,8,B004
O000391,2021-09-26,15:33:25,19,2,B005
O000392,2019-01-15,10:55:16,26,10,B004
O000393,2023-03-04,13:53:12,25,4,B001
O000399,2024-06-13,13:16:41,2,3,B001
O000405,2024-05-07,08:51:11,7,3,B014
O000411,2022-05-31,17:08:25,7,5,B014
O000413,2020-02-05,18:27:07,14,4,B015
O000415,2022-10-21,10:44:24,18,5,B013
O000420,2023-02-23,18:31:50,4,5,B008
O000423,2024-11-27,11:08:37,31,9,B014
O000425,2022-01-16,09:52:55,43,10,B007
O000431,2023-02-14,08:34:12,47,10,B009
O000432,2021-06-28,20:48:04,26,9,B006
O000433,2020-06-23,15:11:07,46,9,B012
O000438,2020-02-29,09:20:42,14,4,B002
O000440,2022-08-11,18:09:53,38,10,B010
O000442,2023-08-04,07:27:48,48,9,B009
O000447,2022-09-09,07:52:24,8,1,B013
O000450,2016-07-31,09:54:48,45,8,B008
O000451,2021-02-01,11:59:34,25,1,B010
O000452,2019-12-27,15:23:10,40,7,B012
O000453,2024-07-15,07:34:49,49,8,B012
O000458,2024-11-08,20:31:53,21,1,B010
O000459,2023-01-18,16:52:30,30,6,B007
O000461,2021-05-14,09:58:11,41,7,B007
O000467,2022-07-01,16:44:35,38,10,B004
O000468,2018-11-22,07:11:38,36,9,B012
O000469,2022-07-05,21:26:54,45,10,B005
O000471,2021-09-24,08:35:12,2,4,B014
O000472,2021-10-05,16:36:58,9,2,B006
O000473,2023-01-25,13:24:44,16,1,B003
O000474,2018-11-21,17:38:37,35,9,B015
O000477,2019-02-08,17:47:31,31,10,B005
O000482,2023-11-03,13:33:16,4,2,B003
O000501,2022-07-01,16:31:29,22,3,B005
O000513,2022-10-24,10:39:20,8,3,B007
O000515,2024-08-05,18:12:37,14,4,B011
O000516,2024-12-03,15:11:20,40,10,B008
O000517,2023-02-14,16:04:50,43,9,B007
O000518,2024-07-28,18:35:22,35,6,B013
O000520,2022-12-21,16:59:59,13,5,B008
O000526,2018-07-02,11:41:25,27,6,B014
O000528,2020-02-09,08:10:18,22,2,B012
O000530,2022-07-03,07:19:32,10,5,B008
O000532,2020-03-01,20:21:34,18,1,B012
O000535,2022-09-26,12:07:46,47,7,B007
O000536,2019-07-25,11:32:18,37,10,B014
O000540,2023-02-03,19:19:17,39,9,B002
O000544,2024-01-17,12:42:45,35,7,B005
O000546,2024-08-15,14:40:34,20,1,B011
O000551,2024-11-06,10:57:08,2,1,B010
O000552,2015-04-16,20:11:08,8,1,B011
O000562,2023-02-20,15:16:29,21,2,B010
O000564,2020-09-28,17:03:49,27,7,B007
O000569,2024-11-20,14:42:50,50,9,B007
O000572,2024-11-20,18:28:42,38,6,B011
O000575,2018-10-21,15:46:03,28,9,B001
O000576,2023-12-18,10:01:30,13,5,B012
O000578,2024-07-31,17:31:40,16,3,B012
O000580,2021-11-19,14:58:30,50,6,B006
O000584,2022-08-25,16:17:57,49,6,B013
O000587,2024-10-30,18:08:33,40,8,B009
O000591,2019-05-22,09:42:28,36,7,B012
O000594,2019-11-16,13:39:59,9,2,B006
O000598,2021-09-30,13:42:46,12,2,B013
O000599,2018-10-06,12:27:17,2,5,B015
O000601,2023-08-29,21:20:17,19,2,B001
