DATE_ACCESSED,TIME_ACCESSED,CUSTOMER_ID,ACCESS_DURATION
2024-05-20,07:50:43,623698,3:51:16
2023-07-19,22:46:52,530523,3:21:27
2022-12-07,19:47:10,348597,2:53:04
2023-07-03,00:34:48,000025,0:50:16
2024-07-27,12:50:50,633265,3:30:01
2024-06-24,07:41:28,844463,1:03:23
2024-03-06,16:05:57,736807,3:11:31
2023-03-21,04:16:43,918106,1:39:37
2024-05-30,14:29:50,970101,1:52:44
2024-07-21,01:19:59,980664,2:54:27
2023-10-21,18:20:31,282907,3:57:14
2024-08-31,14:56:05,087912,1:53:55
2023-03-27,00:26:52,698472,3:35:28
2024-10-26,19:30:19,792898,1:22:14
2024-05-28,20:45:08,849711,1:14:48
2023-01-29,07:02:00,187333,3:46:23
2024-08-23,01:11:31,012723,0:13:28
2024-07-22,18:32:45,539882,3:43:42
2024-04-04,04:40:13,533848,3:00:29
2023-11-30,19:37:41,718658,1:02:59
2024-05-26,09:29:44,434658,3:27:37
2023-01-14,02:45:35,697347,1:46:49
2023-03-03,06:40:33,909816,0:37:12
2024-09-19,17:25:09,454030,2:34:42
2023-01-02,11:42:19,934363,1:51:09
2023-07-31,00:51:20,217705,0:18:01
2023-02-25,06:11:50,674060,2:43:57
2023-12-05,04:52:45,724302,2:49:56
2023-08-05,08:04:54,061471,0:51:35
2024-10-22,09:06:56,252488,3:10:46
2023-01-17,08:58:49,077091,1:34:56
2023-04-16,07:41:06,281152,0:41:39
2023-10-28,22:53:36,603440,1:41:00
2023-04-06,11:44:19,312351,0:47:36
2024-02-05,14:36:50,075359,3:42:05
2024-11-10,22:51:37,930833,3:53:26
2024-02-17,10:29:37,964184,3:06:21
2024-11-11,06:17:19,196037,2:02:15
2024-01-27,20:53:17,496872,3:11:29
2023-11-26,01:24:11,636633,3:40:58
2024-07-11,13:04:40,434477,0:37:21
2024-05-19,16:08:45,414220,3:27:13
2023-01-14,08:48:37,512310,2:55:18
2024-05-11,06:08:44,739041,1:05:20
2024-09-13,14:06:44,262242,1:46:22
2024-06-17,06:29:39,141103,0:05:03
2023-10-01,16:23:44,653778,0:02:52
2023-07-30,04:32:30,173250,0:39:23
2023-08-15,16:44:08,561440,0:07:07
2024-07-27,14:34:18,998792,3:14:41
