BRANCH_START_DATE,BRANCH_END_DATE,EMPLOYEE_ID,BRANCH_ID
2023-03-05,,E000001,B010
2022-01-01,,E000002,B012
2018-11-04,2018-08-22,E000003,B007
2024-07-19,,E000004,B003
2023-03-07,,E000005,B014
2021-10-06,2021-10-08,E000006,B010
2023-01-03,2023-04-17,E000007,B003
2022-10-06,2022-10-05,E000008,B013
2021-11-23,,E000009,B008
2018-01-02,2018-05-05,E000010,B007
2021-04-24,,E000011,B012
2016-12-01,2017-11-01,E000012,B005
2019-05-07,2020-05-27,E000013,B002
2021-05-17,2021-07-31,E000014,B011
2019-04-30,2021-05-11,E000015,B001
2022-02-13,2022-03-18,E000016,B013
2021-10-24,2021-10-27,E000017,B011
2015-10-18,2016-05-29,E000018,B010
2023-04-02,,E000019,B009
2024-04-28,,E000020,B010
2018-01-16,2018-03-30,E000021,B014
2021-11-12,2021-11-21,E000022,B005
2024-08-01,,E000023,B006
2020-09-17,,E000024,B004
2023-04-07,,E000025,B005
2021-07-13,2021-06-03,E000026,B003
2022-06-10,2023-01-24,E000027,B001
2016-09-11,2016-09-16,E000028,B014
2019-07-05,2022-03-30,E000029,B013
2022-06-07,,E000030,B010
2021-02-22,,E000031,B001
2017-05-11,2017-05-05,E000032,B009
2018-04-16,,E000033,B001
2022-11-13,,E000034,B004
2018-11-22,2019-03-09,E000035,B004
2019-07-17,2020-05-20,E000036,B007
2024-04-26,,E000037,B005
2022-06-18,,E000038,B013
2023-09-24,,E000039,B010
2023-12-25,,E000040,B015
2024-01-08,,E000041,B009
2023-03-18,2023-05-30,E000042,B010
2023-02-27,,E000043,B005
2018-03-16,2018-10-12,E000044,B015
2017-01-11,2017-01-14,E000045,B007
2021-03-04,2022-06-16,E000046,B003
2024-05-10,,E000047,B008
2020-06-05,2020-12-19,E000048,B009
2024-05-30,,E000049,B001
2020-08-12,,E000050,B013
2021-12-18,2022-01-29,E000051,B004
2019-05-24,,E000052,B010
2021-11-12,,E000053,B015
2021-03-06,,E000054,B009
2024-09-24,,E000055,B009
2019-08-16,,E000056,B001
2024-02-22,,E000057,B004
2021-04-20,,E000058,B013
2019-07-22,2019-10-08,E000059,B007
2022-10-06,,E000060,B010
2024-11-03,,E000061,B005
2023-02-07,2023-04-29,E000062,B002
2017-06-02,2018-06-22,E000063,B013
2020-12-14,2020-12-29,E000064,B001
2022-03-21,,E000065,B010
2017-01-20,,E000066,B011
2016-10-20,2017-11-03,E000067,B011
2022-06-10,,E000068,B006
2017-09-08,2018-01-29,E000069,B007
2021-04-15,,E000070,B014
2023-06-16,,E000071,B002
2023-02-05,,E000072,B015
2020-02-10,2020-05-01,E000073,B003
2022-12-10,2023-02-03,E000074,B010
2015-09-06,2017-03-14,E000075,B007
2016-07-25,2017-03-28,E000076,B013
2020-10-13,2022-12-26,E000077,B010
2017-12-15,2020-05-22,E000078,B011
2019-11-30,,E000079,B003
2022-10-24,,E000080,B001
2024-05-02,,E000081,B006
2019-09-17,,E000082,B008
2015-06-07,2015-03-26,E000083,B009
2024-07-22,,E000084,B001
2024-03-17,,E000085,B010
2020-04-24,2020-04-03,E000086,B014
2022-04-02,2022-03-29,E000087,B002
2019-04-09,2019-11-11,E000088,B009
2019-05-26,2019-11-07,E000089,B005
2021-07-10,2021-07-10,E000090,B008
2016-09-25,2018-11-17,E000091,B012
2020-06-29,2020-09-10,E000092,B014
2021-08-09,,E000093,B001
2022-04-08,2023-01-08,E000094,B006
2021-02-27,,E000095,B010
2020-12-14,,E000096,B007
2018-06-03,2019-03-11,E000097,B009
2023-08-16,,E000098,B015
2020-11-05,,E000099,B015
2024-01-02,,E000100,B005
2018-01-02,2018-12-05,E000101,B005
2021-04-05,,E000102,B011
2024-11-20,,E000103,B009
2019-08-13,,E000104,B001
2024-08-13,,E000105,B015
2017-07-17,2017-05-04,E000106,B001
2021-01-19,2021-01-07,E000107,B013
2022-05-14,2022-06-26,E000108,B006
2020-05-09,2020-05-12,E000109,B012
2023-01-11,,E000110,B015
2015-05-25,2016-01-03,E000111,B012
2017-05-02,2017-05-12,E000112,B012
2018-01-29,2018-05-23,E000113,B001
2022-07-19,,E000114,B013
2021-02-15,2021-03-22,E000115,B004
2023-12-01,,E000116,B013
2023-04-25,,E000117,B010
2020-05-15,,E000118,B009
2018-06-06,2018-08-19,E000119,B012
2016-01-03,2016-01-04,E000120,B012
2017-02-13,,E000121,B005
2022-05-31,2023-04-21,E000122,B004
2020-03-05,2020-03-29,E000123,B003
2023-12-11,,E000124,B007
2022-06-16,,E000125,B013
2018-09-17,2018-09-16,E000126,B008
2020-11-22,,E000127,B005
2018-01-09,2021-10-04,E000128,B002
2019-09-27,,E000129,B002
2016-09-05,2017-07-05,E000130,B014
2024-02-14,,E000131,B011
2022-06-11,2022-05-28,E000132,B014
2022-05-14,,E000133,B014
2021-12-16,2021-12-27,E000134,B005
2021-12-08,2022-01-27,E000135,B013
2023-03-07,,E000136,B001
2022-10-07,2022-09-25,E000137,B004
2020-03-05,,E000138,B005
2019-04-03,,E000139,B006
2021-05-15,2022-10-06,E000140,B002
2018-08-23,,E000141,B004
2018-01-18,,E000142,B004
2023-06-06,,E000143,B002
2018-01-10,,E000144,B004
2018-09-08,,E000145,B015
2022-02-27,2022-04-04,E000146,B012
2021-08-11,2021-08-23,E000147,B012
2023-03-04,2023-07-10,E000148,B004
2017-04-05,,E000149,B007
2019-12-18,,E000150,B015
2018-05-09,2018-09-27,E000151,B009
2019-09-22,2019-09-26,E000152,B008
2023-12-09,,E000153,B005
2018-02-18,2019-08-04,E000154,B005
2021-01-13,2021-03-13,E000155,B012
